call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
0,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000000,0,0,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2585,138,6,2723,0,0.016375,3713,False,False,,,200,gen-1784089156-OaLd6Vs2UcyCgcasgQUL
1,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000001,0,1,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1486,259,203,1745,0,0.00608,3932,False,False,,,200,gen-1784089160-vFm1NKEsdaBYAWHDTMHg
2,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000002,0,2,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1418,376,307,1794,192,0.0025109,7664,False,False,,,200,gen-1784089165-IjRCKp8vuvYSHy8q7SRq
3,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000003,0,2,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1868,269,185,2137,192,0.0028059,5652,False,False,,,200,gen-1784089173-yDJ0WkVELznibXG8jlIh
4,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000004,0,3,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1608,521,459,2129,128,0.0031781,11509,False,False,,,200,gen-1784089179-C0T2557PEtiTTP776cu3
5,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000005,0,3,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,stop,actual_openrouter_usage,2058,320,256,2378,128,0.0032381,6983,True,False,,,200,gen-1784089190-3AG6MUJP2Dn9IUObcU9v
6,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000005,1,3,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2086,322,269,2408,192,0.0032109,6397,True,False,,,200,gen-1784089198-JJA6Bt3ScjbsMnJlaPm0
7,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000006,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1610,394,258,2004,0,0.01987,9493,False,False,,,200,gen-1784089204-1BIP9ogw5dbsbArd4pR7
8,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000007,0,5,TRADE_RESPONSE_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2177,389,311,2566,192,0.00349215,8552,False,False,,,200,gen-1784089214-Zn6fFwjAn6RhrdehhfZa
9,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000008,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1811,447,314,2258,0,0.022465,10677,False,False,,,200,gen-1784089223-rrkvL1h3eTJ6XeuokpJb
10,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000009,0,5,TRADE_RESPONSE_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2382,418,313,2800,192,0.0038209,7383,False,False,,,200,gen-1784089234-dxCYJpd3mqcIB7gkFB0r
11,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000010,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2010,389,248,2399,1280,0.01596,9284,False,False,,,200,gen-1784089241-p1GOFqoNzOrp275avWmM
12,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000011,0,5,TRADE_RESPONSE_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2617,513,423,3130,192,0.00435215,10859,False,False,,,200,gen-1784089251-tQk73B9aGzmHxBU43tt4
13,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000012,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2217,321,262,2538,0,0.020715,7844,False,False,,,200,gen-1784089262-DSqh6JvQRnXQpJFSpqYB
14,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000013,0,6,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2177,118,50,2295,0,0.014425,3562,False,False,,,200,gen-1784089270-fmf3KmUhrT4cqdIfws86
15,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000014,0,6,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2441,433,311,2874,0,0.025195,8597,False,False,,,200,gen-1784089274-5vAFODm3ueaxCNESAgdd
16,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000015,0,6,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,4393,231,56,4624,0,0.02774,5333,False,False,,,200,gen-1784089282-QLm7kZ94I8hcH3tY7Z5W
17,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000016,0,6,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2646,583,516,3229,0,0.03072,12187,False,False,,,200,gen-1784089288-yIH0WhaG5AroEAELAu37
18,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000017,0,7,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,4242,242,60,4484,0,0.02726,4996,False,False,,,200,gen-1784089300-xT1Ts8tRuvUC5HdLk180
19,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000018,0,7,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,4987,416,125,5403,0,0.035335,6778,False,False,,,200,gen-1784089306-1iGZgBxqEr1Ngkmf2KZW
20,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000019,0,8,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,2684,254,180,2938,0,0.008416,4448,False,False,,,200,gen-1784089312-40Sbtc1DGnYcEkvvkUHQ
21,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000020,0,8,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3083,343,269,3426,0,0.010282,4180,False,False,,,200,gen-1784089317-CYaztfM7P6iLo2tbT9NS
22,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000021,0,9,JAIL_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2971,456,378,3427,128,0.00471935,8542,False,False,,,200,gen-1784089322-1meFcPEqxSnMUp5Epas2
23,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000022,0,10,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2894,663,516,3557,0,0.03436,13472,False,False,,,200,gen-1784089331-5ImlFlHLcv8sMCnQ9237
24,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000023,0,10,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,5228,275,75,5503,0,0.033015,6355,False,False,,,200,gen-1784089345-W1yF1xcBgvadY7i7a0oh
25,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000024,0,10,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3041,499,354,3540,0,0.030175,10616,False,False,,,200,gen-1784089352-n4RYUbVzEcYJonjERsGH
26,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000025,0,10,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3176,388,278,3564,0,0.011008,4903,False,False,,,200,gen-1784089363-W7kGt0r5DMWFDq8nFYUu
27,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000026,0,10,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3103,582,435,3685,0,0.032975,11429,False,False,,,200,gen-1784089368-WM2lJgMxfR33hBXnkDQL
28,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000027,0,10,TRADE_RESPONSE_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,3404,485,400,3889,128,0.0053331,12581,False,False,,,200,gen-1784089381-91cb81fm0ejbk2qr3E3H
29,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000028,0,10,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3155,683,516,3838,0,0.036265,14190,False,False,,,200,gen-1784089394-FSLPrtQZwDXqLC894bJG
30,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000029,0,10,TRADE_RESPONSE_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,3482,512,411,3994,128,0.0054981,10370,False,False,,,200,gen-1784089408-vl3b1Rq37RreKZEW9mJC
31,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000030,0,10,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3192,151,81,3343,0,0.02049,3684,False,False,,,200,gen-1784089419-LGQv8bR1YsLxkH13WsTt
32,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000031,0,11,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,5045,221,41,5266,0,0.03075,4597,False,False,,,200,gen-1784089422-Hb5sPT8KiUD5ajMjLvOR
33,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000032,0,11,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,5703,371,128,6074,0,0.03779,6557,False,False,,,200,gen-1784089427-scV511aoPwLusNwNrT0R
34,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000033,0,12,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3013,230,128,3243,0,0.008786,3818,False,False,,,200,gen-1784089434-Azn0mSXoiyptsY8tVEQ7
35,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000034,0,12,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3402,441,353,3843,0,0.012096,5377,False,False,,,200,gen-1784089438-If1BOxOwotcCAoMJzx1F
36,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000035,0,13,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3135,308,239,3443,0,0.009966,4109,False,False,,,200,gen-1784089444-Hf2bfjWKpOhnnfP0jy7M
37,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000036,0,13,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3519,432,353,3951,0,0.012222,6084,False,False,,,200,gen-1784089448-dqjgX5VmNxP9oWJBoN2T
38,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000037,0,14,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,3558,374,300,3932,0,0.011604,4846,False,False,,,200,gen-1784089454-PUhN8ZrLzNak5WrRd4z1
39,mock-1038910349-f66fa07c,mock-1038910349-f66fa07c-dec-000038,0,15,JAIL_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,3242,582,479,3824,192,0.0053059,15355,False,False,,,200,gen-1784089459-rarh0wSS62RbVsvom2Ss
