schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000000,auction_over_list_price,high,1.0,deterministic,62,,OpenAI GPT 5.5,,1055,1055,"[""mock-1038910349-f66fa07c-evt-001055""]",[],[],OpenAI GPT 5.5 won STATES_AVENUE for 280 over list 140,"{""list_price"": 140, ""property_space"": ""STATES_AVENUE"", ""winning_bid"": 280}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000001,large_rent_payment,high,1.0,deterministic,79,,Grok 4.3,,1238,1238,"[""mock-1038910349-f66fa07c-evt-001238""]",[],[],Grok 4.3 paid 550 rent to Claude Opus 4.8,"{""amount"": 550, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000002,auction_over_list_price,high,1.0,deterministic,80,,OpenAI GPT 5.5,,1294,1294,"[""mock-1038910349-f66fa07c-evt-001294""]",[],[],OpenAI GPT 5.5 won VIRGINIA_AVENUE for 480 over list 160,"{""list_price"": 160, ""property_space"": ""VIRGINIA_AVENUE"", ""winning_bid"": 480}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000003,large_rent_payment,high,1.0,deterministic,81,,OpenAI GPT 5.5,,1323,1323,"[""mock-1038910349-f66fa07c-evt-001323""]",[],[],OpenAI GPT 5.5 paid 550 rent to Claude Opus 4.8,"{""amount"": 550, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000004,auction_over_list_price,high,1.0,deterministic,86,,Gemini 3.1 Pro Preview,,1507,1507,"[""mock-1038910349-f66fa07c-evt-001507""]",[],[],Gemini 3.1 Pro Preview won PARK_PLACE for 600 over list 350,"{""list_price"": 350, ""property_space"": ""PARK_PLACE"", ""winning_bid"": 600}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000005,large_rent_payment,high,1.0,deterministic,94,,Grok 4.3,,1623,1623,"[""mock-1038910349-f66fa07c-evt-001623""]",[],[],Grok 4.3 paid 600 rent to Claude Opus 4.8,"{""amount"": 600, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000006,large_rent_payment,high,1.0,deterministic,97,,Gemini 3.1 Pro Preview,,1665,1665,"[""mock-1038910349-f66fa07c-evt-001665""]",[],[],Gemini 3.1 Pro Preview paid 550 rent to Claude Opus 4.8,"{""amount"": 550, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000007,large_rent_payment,medium,1.0,deterministic,112,,Claude Opus 4.8,,1838,1838,"[""mock-1038910349-f66fa07c-evt-001838""]",[],[],Claude Opus 4.8 paid 150 rent to OpenAI GPT 5.5,"{""amount"": 150, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000008,large_rent_payment,medium,1.0,deterministic,129,,OpenAI GPT 5.5,,2106,2106,"[""mock-1038910349-f66fa07c-evt-002106""]",[],[],OpenAI GPT 5.5 paid 100 rent to Claude Opus 4.8,"{""amount"": 100, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-1038910349-f66fa07c,failure-000009,large_rent_payment,high,1.0,deterministic,145,,OpenAI GPT 5.5,,2332,2332,"[""mock-1038910349-f66fa07c-evt-002332""]",[],[],OpenAI GPT 5.5 paid 875 rent to Claude Opus 4.8,"{""amount"": 875, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
