schema_version,run_id,thread_type,thread_id,events,decisions
v1,mock-44910-42ec35c5,trade,22,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000379"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 379, ""turn_index"": 22}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000384"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 384, ""turn_index"": 22}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000389"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 389, ""turn_index"": 22}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000394"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 394, ""turn_index"": 22}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000399"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 399, ""turn_index"": 22}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000404"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 404, ""turn_index"": 22}]",[]
v1,mock-44910-42ec35c5,trade,26,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000442"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 442, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000447"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 447, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000452"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 452, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000457"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 457, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000462"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 462, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000467"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 467, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000472"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 472, ""turn_index"": 26}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000477"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 477, ""turn_index"": 26}]",[]
v1,mock-44910-42ec35c5,trade,39,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000634"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 634, ""turn_index"": 39}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000639"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 639, ""turn_index"": 39}]",[]
v1,mock-44910-42ec35c5,trade,44,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000771"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 771, ""turn_index"": 44}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000776"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 776, ""turn_index"": 44}]",[]
v1,mock-44910-42ec35c5,trade,48,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000908"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 908, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000913"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 913, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000918"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 918, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000923"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 923, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000928"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 928, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000933"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 933, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000938"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 938, ""turn_index"": 48}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000943"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 943, ""turn_index"": 48}]",[]
v1,mock-44910-42ec35c5,trade,50,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000970"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 970, ""turn_index"": 50}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-000975"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 975, ""turn_index"": 50}]",[]
v1,mock-44910-42ec35c5,trade,54,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001051"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1051, ""turn_index"": 54}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001056"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1056, ""turn_index"": 54}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001061"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1061, ""turn_index"": 54}]",[]
v1,mock-44910-42ec35c5,trade,1,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001066"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1066, ""turn_index"": 54}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001314"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1314, ""turn_index"": 66}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001319"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1319, ""turn_index"": 66}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001584"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 1584, ""turn_index"": 76}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001589"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.4 Mini"", ""seq"": 1589, ""turn_index"": 76}]",[]
v1,mock-44910-42ec35c5,trade,2,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001071"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1071, ""turn_index"": 54}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001076"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1076, ""turn_index"": 54}]",[]
v1,mock-44910-42ec35c5,trade,62,"[{""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001228"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1228, ""turn_index"": 62}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001233"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1233, ""turn_index"": 62}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001238"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1238, ""turn_index"": 62}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001243"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1243, ""turn_index"": 62}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001251"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1251, ""turn_index"": 62}, {""decision_id"": null, ""event_id"": ""mock-44910-42ec35c5-evt-001256"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3 Flash Preview"", ""seq"": 1256, ""turn_index"": 62}]",[]
