schema_version,run_id,thread_type,thread_id,events,decisions
v1,mock-24591-46c1eb90,trade,16,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000313"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 313, ""turn_index"": 16}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000318"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 318, ""turn_index"": 16}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000323"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 323, ""turn_index"": 16}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000328"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 328, ""turn_index"": 16}]",[]
v1,mock-24591-46c1eb90,trade,19,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000376"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 376, ""turn_index"": 19}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000381"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 381, ""turn_index"": 19}]",[]
v1,mock-24591-46c1eb90,trade,21,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000410"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 410, ""turn_index"": 21}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000415"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 415, ""turn_index"": 21}]",[]
v1,mock-24591-46c1eb90,trade,30,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000530"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 530, ""turn_index"": 30}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000535"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 535, ""turn_index"": 30}]",[]
v1,mock-24591-46c1eb90,trade,35,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000594"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 594, ""turn_index"": 35}]",[]
v1,mock-24591-46c1eb90,trade,1,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000599"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 599, ""turn_index"": 35}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000604"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 604, ""turn_index"": 35}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000742"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 742, ""turn_index"": 42}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000781"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 781, ""turn_index"": 44}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-001962"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 1962, ""turn_index"": 109}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-001967"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 1967, ""turn_index"": 109}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-002433"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 2433, ""turn_index"": 129}]",[]
v1,mock-24591-46c1eb90,trade,36,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000626"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 626, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000631"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 631, ""turn_index"": 36}]",[]
v1,mock-24591-46c1eb90,trade,40,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000676"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 676, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000681"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 681, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000686"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 686, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000691"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 691, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000696"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 696, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000701"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 701, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000706"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 706, ""turn_index"": 40}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000711"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 711, ""turn_index"": 40}]",[]
v1,mock-24591-46c1eb90,trade,42,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000737"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 737, ""turn_index"": 42}]",[]
v1,mock-24591-46c1eb90,trade,2,"[{""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000747"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 747, ""turn_index"": 42}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000752"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 752, ""turn_index"": 42}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-000786"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 786, ""turn_index"": 44}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-002438"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 2438, ""turn_index"": 129}, {""decision_id"": null, ""event_id"": ""mock-24591-46c1eb90-evt-002443"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 2443, ""turn_index"": 129}]",[]
