evidence_id,run_id,turn_index,decision_id,player_id,decision_type,chosen_action,event_seq_start,event_seq_end,action_path,decision_path,prompt_path,response_path,quality_response_path,snapshot_path,review_path,citation_status
mock-24591-46c1eb90-review-000000,mock-24591-46c1eb90,0,mock-24591-46c1eb90-dec-000000,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,5,10,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000000_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000000_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000000_response.txt,run/state/turn_0000.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000001,mock-24591-46c1eb90,0,mock-24591-46c1eb90-dec-000001,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,11,14,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000001_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000001_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000001_response.txt,run/state/turn_0000.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000002,mock-24591-46c1eb90,1,mock-24591-46c1eb90-dec-000002,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,20,23,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000002_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000002_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000002_response.txt,run/state/turn_0001.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000003,mock-24591-46c1eb90,2,mock-24591-46c1eb90-dec-000003,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,30,35,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000003_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000003_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000003_response.txt,run/state/turn_0002.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000004,mock-24591-46c1eb90,2,mock-24591-46c1eb90-dec-000004,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,36,39,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000004_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000004_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000004_response.txt,run/state/turn_0002.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000005,mock-24591-46c1eb90,3,mock-24591-46c1eb90-dec-000005,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,46,49,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000005_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000005_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000005_response.txt,run/state/turn_0003.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000006,mock-24591-46c1eb90,4,mock-24591-46c1eb90-dec-000006,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,54,59,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000006_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000006_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000006_response.txt,run/state/turn_0004.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000007,mock-24591-46c1eb90,4,mock-24591-46c1eb90-dec-000007,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,60,63,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000007_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000007_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000007_response.txt,run/state/turn_0004.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000008,mock-24591-46c1eb90,5,mock-24591-46c1eb90-dec-000008,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,68,73,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000008_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000008_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000008_response.txt,run/state/turn_0005.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000009,mock-24591-46c1eb90,5,mock-24591-46c1eb90-dec-000009,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,74,77,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000009_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000009_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000009_response.txt,run/state/turn_0005.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000010,mock-24591-46c1eb90,6,mock-24591-46c1eb90-dec-000010,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,85,88,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000010_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000010_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000010_response.txt,run/state/turn_0006.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000011,mock-24591-46c1eb90,7,mock-24591-46c1eb90-dec-000011,Grok 4.3,BUY_OR_AUCTION_DECISION,start_auction,93,97,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000011_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000011_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000011_response.txt,run/state/turn_0007.json,analysis/review/chronological_turn_review.md,resolved
mock-24591-46c1eb90-review-000012,mock-24591-46c1eb90,7,mock-24591-46c1eb90-dec-000012,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,98,102,run/actions.jsonl,run/decisions.jsonl,run/prompts/decision_mock-24591-46c1eb90-dec-000012_user.json,run/prompts/decision_mock-24591-46c1eb90-dec-000012_response.json,quality_check/decision_mock-24591-46c1eb90-dec-000012_response.txt,run/state/turn_0007.json,analysis/review/chronological_turn_review.md,resolved
