schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000000,property_purchase,low,1.0,deterministic,0,,Claude Opus 4.8,,8,8,"[""mock-2413970733-53b199c1-evt-000008""]",[],[],Claude Opus 4.8 purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 6}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000001,property_purchase,low,1.0,deterministic,1,,Gemini 3.1 Pro Preview,,22,22,"[""mock-2413970733-53b199c1-evt-000022""]",[],[],Gemini 3.1 Pro Preview purchased property for 120,"{""price"": 120, ""property_space"": null, ""space_index"": 9}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000002,property_purchase,low,1.0,deterministic,2,,Grok 4.3,,36,36,"[""mock-2413970733-53b199c1-evt-000036""]",[],[],Grok 4.3 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 5}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000003,major_cash_swing,medium,1.0,deterministic,2,,Grok 4.3,,37,37,"[""mock-2413970733-53b199c1-evt-000037""]",[],[],Grok 4.3 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000004,trade_proposed,low,1.0,deterministic,3,,OpenAI GPT 5.5,,53,53,"[""mock-2413970733-53b199c1-evt-000053""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000005,trade_rejected,low,1.0,deterministic,3,,OpenAI GPT 5.5,,58,58,"[""mock-2413970733-53b199c1-evt-000058""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000006,trade_proposed,low,1.0,deterministic,3,,OpenAI GPT 5.5,,63,63,"[""mock-2413970733-53b199c1-evt-000063""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000007,trade_rejected,low,1.0,deterministic,3,,OpenAI GPT 5.5,,68,68,"[""mock-2413970733-53b199c1-evt-000068""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000008,trade_proposed,low,1.0,deterministic,3,,OpenAI GPT 5.5,,73,73,"[""mock-2413970733-53b199c1-evt-000073""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-2413970733-53b199c1,trace-000009,trade_rejected,low,1.0,deterministic,3,,OpenAI GPT 5.5,,78,78,"[""mock-2413970733-53b199c1-evt-000078""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
