schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000000,property_purchase,low,1.0,deterministic,0,,OpenAI GPT 5.4 Mini,,8,8,"[""mock-44910-42ec35c5-evt-000008""]",[],[],OpenAI GPT 5.4 Mini purchased property for 140,"{""price"": 140, ""property_space"": null, ""space_index"": 11}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000001,property_purchase,low,1.0,deterministic,1,,Claude Haiku 4.5,,22,22,"[""mock-44910-42ec35c5-evt-000022""]",[],[],Claude Haiku 4.5 purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 6}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000002,property_purchase,low,1.0,deterministic,7,,Gemini 3 Flash Preview,,91,91,"[""mock-44910-42ec35c5-evt-000091""]",[],[],Gemini 3 Flash Preview purchased property for 120,"{""price"": 120, ""property_space"": null, ""space_index"": 9}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000003,property_purchase,low,1.0,deterministic,8,,Grok 4.3,,105,105,"[""mock-44910-42ec35c5-evt-000105""]",[],[],Grok 4.3 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 15}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000004,major_cash_swing,medium,1.0,deterministic,8,,Grok 4.3,,106,106,"[""mock-44910-42ec35c5-evt-000106""]",[],[],Grok 4.3 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000005,property_purchase,low,1.0,deterministic,9,,OpenAI GPT 5.4 Mini,,119,119,"[""mock-44910-42ec35c5-evt-000119""]",[],[],OpenAI GPT 5.4 Mini purchased property for 260,"{""price"": 260, ""property_space"": null, ""space_index"": 26}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000006,major_cash_swing,medium,1.0,deterministic,9,,OpenAI GPT 5.4 Mini,,120,120,"[""mock-44910-42ec35c5-evt-000120""]",[],[],OpenAI GPT 5.4 Mini cash changed by -260 for buy_property,"{""delta"": -260, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000007,property_purchase,low,1.0,deterministic,10,,Claude Haiku 4.5,,133,133,"[""mock-44910-42ec35c5-evt-000133""]",[],[],Claude Haiku 4.5 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 25}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000008,major_cash_swing,medium,1.0,deterministic,10,,Claude Haiku 4.5,,134,134,"[""mock-44910-42ec35c5-evt-000134""]",[],[],Claude Haiku 4.5 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000009,property_purchase,low,1.0,deterministic,11,,Gemini 3 Flash Preview,,147,147,"[""mock-44910-42ec35c5-evt-000147""]",[],[],Gemini 3 Flash Preview purchased property for 180,"{""price"": 180, ""property_space"": null, ""space_index"": 16}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000010,property_purchase,low,1.0,deterministic,12,,Grok 4.3,,161,161,"[""mock-44910-42ec35c5-evt-000161""]",[],[],Grok 4.3 purchased property for 220,"{""price"": 220, ""property_space"": null, ""space_index"": 23}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000011,major_cash_swing,medium,1.0,deterministic,12,,Grok 4.3,,162,162,"[""mock-44910-42ec35c5-evt-000162""]",[],[],Grok 4.3 cash changed by -220 for buy_property,"{""delta"": -220, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000012,property_purchase,low,1.0,deterministic,13,,OpenAI GPT 5.4 Mini,,175,175,"[""mock-44910-42ec35c5-evt-000175""]",[],[],OpenAI GPT 5.4 Mini purchased property for 280,"{""price"": 280, ""property_space"": null, ""space_index"": 29}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000013,major_cash_swing,medium,1.0,deterministic,13,,OpenAI GPT 5.4 Mini,,176,176,"[""mock-44910-42ec35c5-evt-000176""]",[],[],OpenAI GPT 5.4 Mini cash changed by -280 for buy_property,"{""delta"": -280, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000014,property_purchase,low,1.0,deterministic,14,,Claude Haiku 4.5,,189,189,"[""mock-44910-42ec35c5-evt-000189""]",[],[],Claude Haiku 4.5 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 35}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000015,major_cash_swing,medium,1.0,deterministic,14,,Claude Haiku 4.5,,190,190,"[""mock-44910-42ec35c5-evt-000190""]",[],[],Claude Haiku 4.5 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000016,major_cash_swing,medium,1.0,deterministic,15,,Claude Haiku 4.5,,199,199,"[""mock-44910-42ec35c5-evt-000199""]",[],[],Claude Haiku 4.5 cash changed by 200 for PASS_GO,"{""delta"": 200, ""reason"": ""PASS_GO""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000017,auction_bid_over_list_price,medium,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,244,244,"[""mock-44910-42ec35c5-evt-000244""]",[],[],OpenAI GPT 5.4 Mini bid 70 on MEDITERRANEAN_AVENUE over list 60,"{""bid_amount"": 70, ""list_price"": 60, ""property_space"": ""MEDITERRANEAN_AVENUE""}",{},,False,not_required,"[""auction_bid_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000018,property_purchase,low,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,250,250,"[""mock-44910-42ec35c5-evt-000250""]",[],[],OpenAI GPT 5.4 Mini purchased property for 70,"{""price"": 70, ""property_space"": null, ""space_index"": 1}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000019,auction_over_list_price,medium,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,252,252,"[""mock-44910-42ec35c5-evt-000252""]",[],[],OpenAI GPT 5.4 Mini won MEDITERRANEAN_AVENUE for 70 over list 60,"{""list_price"": 60, ""property_space"": ""MEDITERRANEAN_AVENUE"", ""winning_bid"": 70}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000020,property_purchase,low,1.0,deterministic,17,,Grok 4.3,,276,276,"[""mock-44910-42ec35c5-evt-000276""]",[],[],Grok 4.3 purchased property for 260,"{""price"": 260, ""property_space"": null, ""space_index"": 27}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000021,major_cash_swing,medium,1.0,deterministic,17,,Grok 4.3,,277,277,"[""mock-44910-42ec35c5-evt-000277""]",[],[],Grok 4.3 cash changed by -260 for buy_property,"{""delta"": -260, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000022,property_purchase,low,1.0,deterministic,18,,Grok 4.3,,290,290,"[""mock-44910-42ec35c5-evt-000290""]",[],[],Grok 4.3 purchased property for 400,"{""price"": 400, ""property_space"": null, ""space_index"": 39}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000023,major_cash_swing,medium,1.0,deterministic,18,,Grok 4.3,,291,291,"[""mock-44910-42ec35c5-evt-000291""]",[],[],Grok 4.3 cash changed by -400 for buy_property,"{""delta"": -400, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000024,sent_to_jail,medium,1.0,deterministic,19,,Grok 4.3,,300,300,"[""mock-44910-42ec35c5-evt-000300""]",[],[],Grok 4.3 was sent to jail,"{""player_id"": ""Grok 4.3"", ""reason"": ""THREE_DOUBLES""}",{},,False,not_required,"[""sent_to_jail""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000025,major_cash_swing,medium,1.0,deterministic,21,,OpenAI GPT 5.4 Mini,,316,316,"[""mock-44910-42ec35c5-evt-000316""]",[],[],OpenAI GPT 5.4 Mini cash changed by 200 for PASS_GO,"{""delta"": 200, ""reason"": ""PASS_GO""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000026,property_purchase,low,1.0,deterministic,22,,Gemini 3 Flash Preview,,372,372,"[""mock-44910-42ec35c5-evt-000372""]",[],[],Gemini 3 Flash Preview purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 12}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000027,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,379,379,"[""mock-44910-42ec35c5-evt-000379""]",[],[],TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000028,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,384,384,"[""mock-44910-42ec35c5-evt-000384""]",[],[],TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000029,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,389,389,"[""mock-44910-42ec35c5-evt-000389""]",[],[],TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000030,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,394,394,"[""mock-44910-42ec35c5-evt-000394""]",[],[],TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000031,trade_proposed,low,1.0,deterministic,22,,Claude Haiku 4.5,,399,399,"[""mock-44910-42ec35c5-evt-000399""]",[],[],TRADE_PROPOSED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000032,trade_rejected,low,1.0,deterministic,22,,Claude Haiku 4.5,,404,404,"[""mock-44910-42ec35c5-evt-000404""]",[],[],TRADE_REJECTED between Claude Haiku 4.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000033,sent_to_jail,medium,1.0,deterministic,23,,Gemini 3 Flash Preview,,414,414,"[""mock-44910-42ec35c5-evt-000414""]",[],[],Gemini 3 Flash Preview was sent to jail,"{""player_id"": ""Gemini 3 Flash Preview"", ""reason"": ""GO_TO_JAIL""}",{},,False,not_required,"[""sent_to_jail""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000034,major_cash_swing,medium,1.0,deterministic,25,,OpenAI GPT 5.4 Mini,,426,426,"[""mock-44910-42ec35c5-evt-000426""]",[],[],OpenAI GPT 5.4 Mini cash changed by -200 for TAX_INCOME,"{""delta"": -200, ""reason"": ""TAX_INCOME""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000035,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,442,442,"[""mock-44910-42ec35c5-evt-000442""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000036,trade_rejected,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,447,447,"[""mock-44910-42ec35c5-evt-000447""]",[],[],TRADE_REJECTED between OpenAI GPT 5.4 Mini and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-44910-42ec35c5,trace-000037,trade_proposed,low,1.0,deterministic,26,,OpenAI GPT 5.4 Mini,,452,452,"[""mock-44910-42ec35c5-evt-000452""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.4 Mini and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
