decision_row_index,phase,turn_index,decision_id,decision_type,player_id,attempts,retry_count,fallback_used,validation_errors,selected_action_type,selected_action,latency_ms
0,decision_started,0,mock-2413970733-53b199c1-dec-000000,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,0,0,False,[],,{},
1,decision_resolved,0,mock-2413970733-53b199c1-dec-000000,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,1,0,False,[],,{},4597
2,decision_started,0,mock-2413970733-53b199c1-dec-000001,POST_TURN_ACTION_DECISION,Claude Opus 4.8,0,0,False,[],,{},
3,decision_resolved,0,mock-2413970733-53b199c1-dec-000001,POST_TURN_ACTION_DECISION,Claude Opus 4.8,1,0,False,[],,{},3464
4,decision_started,1,mock-2413970733-53b199c1-dec-000002,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,0,0,False,[],,{},
5,decision_resolved,1,mock-2413970733-53b199c1-dec-000002,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,1,0,False,[],,{},3653
6,decision_started,1,mock-2413970733-53b199c1-dec-000003,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,0,0,False,[],,{},
7,decision_resolved,1,mock-2413970733-53b199c1-dec-000003,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,1,0,False,[],,{},3094
8,decision_started,2,mock-2413970733-53b199c1-dec-000004,BUY_OR_AUCTION_DECISION,Grok 4.3,0,0,False,[],,{},
9,decision_resolved,2,mock-2413970733-53b199c1-dec-000004,BUY_OR_AUCTION_DECISION,Grok 4.3,1,0,False,[],,{},6621
10,decision_started,2,mock-2413970733-53b199c1-dec-000005,POST_TURN_ACTION_DECISION,Grok 4.3,0,0,False,[],,{},
11,decision_resolved,2,mock-2413970733-53b199c1-dec-000005,POST_TURN_ACTION_DECISION,Grok 4.3,1,0,False,[],,{},5614
12,decision_started,3,mock-2413970733-53b199c1-dec-000006,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,0,0,False,[],,{},
13,decision_resolved,3,mock-2413970733-53b199c1-dec-000006,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,1,0,False,[],,{},15272
14,decision_started,3,mock-2413970733-53b199c1-dec-000007,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,0,0,False,[],,{},
15,decision_resolved,3,mock-2413970733-53b199c1-dec-000007,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,1,0,False,[],,{},5157
16,decision_started,3,mock-2413970733-53b199c1-dec-000008,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,0,0,False,[],,{},
17,decision_resolved,3,mock-2413970733-53b199c1-dec-000008,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,1,0,False,[],,{},12980
18,decision_started,3,mock-2413970733-53b199c1-dec-000009,TRADE_RESPONSE_DECISION,Claude Opus 4.8,0,0,False,[],,{},
19,decision_resolved,3,mock-2413970733-53b199c1-dec-000009,TRADE_RESPONSE_DECISION,Claude Opus 4.8,1,0,False,[],,{},4996
20,decision_started,3,mock-2413970733-53b199c1-dec-000010,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,0,0,False,[],,{},
21,decision_resolved,3,mock-2413970733-53b199c1-dec-000010,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,1,0,False,[],,{},13713
22,decision_started,3,mock-2413970733-53b199c1-dec-000011,TRADE_RESPONSE_DECISION,Grok 4.3,0,0,False,[],,{},
23,decision_resolved,3,mock-2413970733-53b199c1-dec-000011,TRADE_RESPONSE_DECISION,Grok 4.3,1,0,False,[],,{},7931
24,decision_started,3,mock-2413970733-53b199c1-dec-000012,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,0,0,False,[],,{},
25,decision_resolved,3,mock-2413970733-53b199c1-dec-000012,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,1,0,False,[],,{},9750
