schema_version,review_label_version,queue_item_id,run_id,decision_id,turn_index,player_id,model_id,finding_ids,failure_ids,severity,reason_for_review,suggested_labels,status,reviewer_id,review_mode,artifact_paths,sampling
v1,review_label_v1,review-000000,mock-44910-42ec35c5,,109,OpenAI GPT 5.4 Mini,,"[""trace-000206""]",[],high,bankruptcy_cash_loss,"[""bankruptcy_cash_loss""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000001,mock-44910-42ec35c5,,130,Claude Haiku 4.5,,"[""trace-000239""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000002,mock-44910-42ec35c5,,130,Grok 4.3,,"[""trace-000240""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000003,mock-44910-42ec35c5,,130,Claude Haiku 4.5,,"[""trace-000241""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000004,mock-44910-42ec35c5,,136,Claude Haiku 4.5,,"[""trace-000246""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000005,mock-44910-42ec35c5,,136,Grok 4.3,,"[""trace-000247""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000006,mock-44910-42ec35c5,,136,Claude Haiku 4.5,,"[""trace-000248""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000007,mock-44910-42ec35c5,,142,Claude Haiku 4.5,,"[""trace-000254""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000008,mock-44910-42ec35c5,,142,Gemini 3 Flash Preview,,"[""trace-000255""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000009,mock-44910-42ec35c5,,142,Claude Haiku 4.5,,"[""trace-000256""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
