call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
0,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000000,0,0,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2224,165,31,2389,0,0.015245,4597,False,False,,,200,gen-1783946061-FE1MAV9NhC8elRKq4ZTq
1,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000001,0,0,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2922,148,0,3070,0,0.01831,3464,False,False,,,200,gen-1783946066-T9GLfUeSXdC76hL2smBV
2,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000002,0,1,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1341,231,173,1572,0,0.005454,3653,False,False,,,200,gen-1783946070-vazD09cgBMkqxK9883uv
3,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000003,0,1,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1768,172,111,1940,0,0.0056,3094,False,False,,,200,gen-1783946074-dmDhFud2SdsvQTSYDSbz
4,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000004,0,2,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1559,365,289,1924,192,0.00265965,6621,False,False,,,200,gen-1783946078-eEK2fJmuk17WXXWeddBP
5,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000005,0,2,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2016,246,189,2262,128,0.0030006,5614,False,False,,,200,gen-1783946084-46M82tmTZBEbPp8vKakE
6,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000006,0,3,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1657,468,332,2125,0,0.022325,15272,False,False,,,200,gen-1783946090-rZGnb69JrpBwpu33mDCX
7,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000007,0,3,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,2054,347,247,2401,0,0.008272,5157,False,False,,,200,gen-1783946106-ImwtU3W8sxbGyPTF46d4
8,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000008,0,3,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1861,383,245,2244,1280,0.015035,12980,False,False,,,200,gen-1783946111-JTJbTQslMWjbYoZJ9aDS
9,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000009,0,3,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,3866,214,30,4080,0,0.02468,4996,False,False,,,200,gen-1783946124-SBrLaNv4OEbJNph002r7
