decision_id,actor_player_id,decision_type,turn_index,action,decision_meta
mock-24591-46c1eb90-dec-000000,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,0,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000000"", ""private_thought"": ""Early game; always buy cheap properties to build future monopolies and increase board control."", ""public_message"": ""Buying Vermont Avenue."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000001,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,0,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000001"", ""private_thought"": ""Early game; no useful trade or mortgage action. Keep cash liquid and end turn."", ""public_message"": ""Done for now."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000002,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,1,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000002"", ""private_thought"": ""Early game, no properties yet. GPT bought Vermont Avenue cheaply. Focus on building cash and acquiring strategic properties. No trades make sense at this stage."", ""public_message"": ""Passing my turn."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000003,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,2,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000003"", ""private_thought"": ""Boardwalk is the most valuable property on the board. Even though it costs $400, owning it early gives me excellent leverage and a highly dangerous potential monopoly if I can secure Park Place later. Absolutely buying it."", ""public_message"": ""Securing Boardwalk early. A prime piece of real estate to start the portfolio!"", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000004,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,2,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000004"", ""private_thought"": ""I've acquired Boardwalk. Since no one has other key properties to trade with yet and I want to keep my cash for buying more properties when I land on them, I will end my turn."", ""public_message"": ""Boardwalk is secured. Best of luck on your turns!"", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000005,Grok 4.3,POST_TURN_ACTION_DECISION,3,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000005"", ""private_thought"": ""Early game, no properties, nothing to trade or build. Ending turn to progress and potentially land on buyable spots next time."", ""public_message"": ""Passing my turn."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000006,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,4,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000006"", ""private_thought"": ""Strong midgame color group. I have plenty of cash; buying preserves monopoly potential and board control."", ""public_message"": ""Buying St. James Place — orange is too valuable to pass up."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000007,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,4,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000007"", ""private_thought"": ""No immediate trade or mortgage improves position; keep cash liquid and wait for better board pressure or trade leverage."", ""public_message"": ""Ending turn."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000008,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,5,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000008"", ""private_thought"": ""Switching to active acquisition mode. Bought ST_CHARLES_PLACE for $140, leaving me with $1360. Now targeting STATES_AVENUE and VIRGINIA_AVENUE to complete pink monopoly. Early game is the window for property control before cash becomes precious."", ""public_message"": ""Taking St. Charles Place. Solid acquisition this early."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-24591-46c1eb90-dec-000009,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,5,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-24591-46c1eb90-dec-000009"", ""private_thought"": ""Early game requires positioning. I've got ST_CHARLES_PLACE and need the other two pinks. Sitting at $1360 cash with room to acquire more properties. No trades are advantageous now. Let the board develop naturally."", ""public_message"": ""Ending my turn. Building my portfolio strategically."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
