schema_version,run_id,thread_type,thread_id,events,decisions
v1,mock-64394-c3bb8d94,trade,31,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000444"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 444, ""turn_index"": 31}]",[]
v1,mock-64394-c3bb8d94,trade,1,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000449"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 449, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000454"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Claude Haiku 4.5"", ""seq"": 454, ""turn_index"": 31}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000602"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 602, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-001041"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 1041, ""turn_index"": 59}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-001345"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 1345, ""turn_index"": 75}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-001350"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 1350, ""turn_index"": 75}]",[]
v1,mock-64394-c3bb8d94,trade,32,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000477"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 477, ""turn_index"": 32}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000482"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 482, ""turn_index"": 32}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000487"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 487, ""turn_index"": 32}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000492"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 492, ""turn_index"": 32}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000497"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 497, ""turn_index"": 32}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000502"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 502, ""turn_index"": 32}]",[]
v1,mock-64394-c3bb8d94,trade,36,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000556"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 556, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000561"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 561, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000566"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 566, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000571"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 571, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000576"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 576, ""turn_index"": 36}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000581"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 581, ""turn_index"": 36}]",[]
v1,mock-64394-c3bb8d94,trade,37,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000597"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 597, ""turn_index"": 37}]",[]
v1,mock-64394-c3bb8d94,trade,2,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000607"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 607, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000612"", ""event_type"": ""TRADE_ACCEPTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 612, ""turn_index"": 37}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-001046"", ""event_type"": ""TRADE_COUNTERED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 1046, ""turn_index"": 59}]",[]
v1,mock-64394-c3bb8d94,trade,39,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000645"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 645, ""turn_index"": 39}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000650"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 650, ""turn_index"": 39}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000655"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 655, ""turn_index"": 39}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000660"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 660, ""turn_index"": 39}]",[]
v1,mock-64394-c3bb8d94,trade,42,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000696"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 696, ""turn_index"": 42}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000701"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 701, ""turn_index"": 42}]",[]
v1,mock-64394-c3bb8d94,trade,45,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000741"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 741, ""turn_index"": 45}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000746"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 746, ""turn_index"": 45}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000751"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 751, ""turn_index"": 45}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000756"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""seq"": 756, ""turn_index"": 45}]",[]
v1,mock-64394-c3bb8d94,trade,47,"[{""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000779"", ""event_type"": ""TRADE_PROPOSED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 779, ""turn_index"": 47}, {""decision_id"": null, ""event_id"": ""mock-64394-c3bb8d94-evt-000784"", ""event_type"": ""TRADE_REJECTED"", ""player_id"": ""Gemini 3.5 Flash"", ""seq"": 784, ""turn_index"": 47}]",[]
