schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000000,property_purchase,low,1.0,deterministic,0,,OpenAI GPT 5.5,,8,8,"[""mock-83265-81ed4937-evt-000008""]",[],[],OpenAI GPT 5.5 purchased property for 140,"{""price"": 140, ""property_space"": null, ""space_index"": 11}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000001,property_purchase,low,1.0,deterministic,1,,Claude Opus 4.8,,22,22,"[""mock-83265-81ed4937-evt-000022""]",[],[],Claude Opus 4.8 purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 8}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000002,major_cash_swing,medium,1.0,deterministic,2,,Gemini 3.1 Pro Preview,,33,33,"[""mock-83265-81ed4937-evt-000033""]",[],[],Gemini 3.1 Pro Preview cash changed by 200 for BANK_ERROR_COLLECT_200,"{""delta"": 200, ""reason"": ""BANK_ERROR_COLLECT_200""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000003,property_purchase,low,1.0,deterministic,5,,OpenAI GPT 5.5,,62,62,"[""mock-83265-81ed4937-evt-000062""]",[],[],OpenAI GPT 5.5 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 19}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000004,major_cash_swing,medium,1.0,deterministic,5,,OpenAI GPT 5.5,,63,63,"[""mock-83265-81ed4937-evt-000063""]",[],[],OpenAI GPT 5.5 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000005,property_purchase,low,1.0,deterministic,6,,Claude Opus 4.8,,76,76,"[""mock-83265-81ed4937-evt-000076""]",[],[],Claude Opus 4.8 purchased property for 160,"{""price"": 160, ""property_space"": null, ""space_index"": 14}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000006,major_cash_swing,medium,1.0,deterministic,7,,Gemini 3.1 Pro Preview,,88,88,"[""mock-83265-81ed4937-evt-000088""]",[],[],Gemini 3.1 Pro Preview cash changed by 200 for PASS_GO,"{""delta"": 200, ""reason"": ""PASS_GO""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000007,property_purchase,low,1.0,deterministic,8,,Gemini 3.1 Pro Preview,,103,103,"[""mock-83265-81ed4937-evt-000103""]",[],[],Gemini 3.1 Pro Preview purchased property for 400,"{""price"": 400, ""property_space"": null, ""space_index"": 39}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000008,major_cash_swing,medium,1.0,deterministic,8,,Gemini 3.1 Pro Preview,,104,104,"[""mock-83265-81ed4937-evt-000104""]",[],[],Gemini 3.1 Pro Preview cash changed by -400 for buy_property,"{""delta"": -400, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000009,property_purchase,low,1.0,deterministic,10,,OpenAI GPT 5.5,,125,125,"[""mock-83265-81ed4937-evt-000125""]",[],[],OpenAI GPT 5.5 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 25}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-83265-81ed4937,trace-000010,major_cash_swing,medium,1.0,deterministic,10,,OpenAI GPT 5.5,,126,126,"[""mock-83265-81ed4937-evt-000126""]",[],[],OpenAI GPT 5.5 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
