schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000000,property_purchase,low,1.0,deterministic,0,,Claude Opus 4.8,,10,10,"[""mock-321229807-87ca99d7-evt-000010""]",[],[],Claude Opus 4.8 purchased property for 240,"{""price"": 240, ""property_space"": null, ""space_index"": 24}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000001,major_cash_swing,medium,1.0,deterministic,0,,Claude Opus 4.8,,11,11,"[""mock-321229807-87ca99d7-evt-000011""]",[],[],Claude Opus 4.8 cash changed by -240 for buy_property,"{""delta"": -240, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000002,property_purchase,low,1.0,deterministic,1,,Gemini 3.1 Pro Preview,,24,24,"[""mock-321229807-87ca99d7-evt-000024""]",[],[],Gemini 3.1 Pro Preview purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 8}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000003,property_purchase,low,1.0,deterministic,2,,Grok 4.3,,38,38,"[""mock-321229807-87ca99d7-evt-000038""]",[],[],Grok 4.3 purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 6}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000004,property_purchase,low,1.0,deterministic,3,,Grok 4.3,,52,52,"[""mock-321229807-87ca99d7-evt-000052""]",[],[],Grok 4.3 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 15}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000005,major_cash_swing,medium,1.0,deterministic,3,,Grok 4.3,,53,53,"[""mock-321229807-87ca99d7-evt-000053""]",[],[],Grok 4.3 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000006,property_purchase,low,1.0,deterministic,4,,OpenAI GPT 5.5,,66,66,"[""mock-321229807-87ca99d7-evt-000066""]",[],[],OpenAI GPT 5.5 purchased property for 120,"{""price"": 120, ""property_space"": null, ""space_index"": 9}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000007,trade_proposed,low,1.0,deterministic,4,,OpenAI GPT 5.5,,72,72,"[""mock-321229807-87ca99d7-evt-000072""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000008,trade_countered,low,1.0,deterministic,4,,OpenAI GPT 5.5,,77,77,"[""mock-321229807-87ca99d7-evt-000077""]",[],[],TRADE_COUNTERED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 1}",{},,False,not_required,"[""trade_countered""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-321229807-87ca99d7,trace-000009,trade_countered,low,1.0,deterministic,4,,OpenAI GPT 5.5,,82,82,"[""mock-321229807-87ca99d7-evt-000082""]",[],[],TRADE_COUNTERED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 2}",{},,False,not_required,"[""trade_countered""]"
