decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-1038910349-f66fa07c-dec-000000,0,Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3713,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000001,1,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3932,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000002,2,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,7664,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000003,2,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,5652,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000004,3,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,11509,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000005,3,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,2,1,True,False,13642,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000006,5,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,9493,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000007,5,Grok 4.3,TRADE_RESPONSE_DECISION,reject_trade,1,0,False,False,8552,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000008,5,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,10677,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000009,5,Grok 4.3,TRADE_RESPONSE_DECISION,reject_trade,1,0,False,False,7383,True,NOT_SCORED_NO_ORACLE
mock-1038910349-f66fa07c-dec-000010,5,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,9284,True,NOT_SCORED_NO_ORACLE
