episode_id,episode_family,saved_game,run_id,turn_start,turn_end,decision_ids_json,event_start_id,event_end_id,selection_basis,events_path,actions_path,decisions_path,events_sha256,actions_sha256,decisions_sha256
CAL-001,ACCUSATION_OR_HIGH_RISK,frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview,mock-2413970733-53b199c1,75,80,"[""mock-2413970733-53b199c1-dec-000248""]",mock-2413970733-53b199c1-evt-001645,mock-2413970733-53b199c1-evt-001766,"public language contains accusation, threat, betrayal, or deception cue",C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\decisions.jsonl,e4df1dc9952eb77df60b7662ad675f4771faffa7ce9d5354d9d21025a6616f07,38c62cd41ce3a46906ded9971361cb4a7c7d789632553e1feaa1cdbe66345034,58ab2483c6af73d7bf560a14bf66e63afb2539420a46f2fa99f62c8c10ddda32
CAL-002,PROMISE_OR_REVERSAL,frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash,mock-24591-46c1eb90,30,40,"[""mock-24591-46c1eb90-dec-000076""]",mock-24591-46c1eb90-evt-000537,mock-24591-46c1eb90-evt-000716,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\decisions.jsonl,aa4001676d71bf15576cf0348528889114feb7e05f030f0d068882aea13f3246,c66d941c7188e121ef1ceaae4626a074d552724f54f6d733123b12b6abdff99b,13e3737fd01300b1ee7c440214f6e8f28dc2f2271f2f08fbae259d12d240df7a
CAL-003,TRADE_OR_COALITION,frontier-163-mock-1038910349-f66fa07c-claude-opus-4-8,mock-1038910349-f66fa07c,21,21,"[""mock-1038910349-f66fa07c-dec-000047"",""mock-1038910349-f66fa07c-dec-000048""]",mock-1038910349-f66fa07c-evt-000338,mock-1038910349-f66fa07c-evt-000346,structured propose_trade action through first terminal trade event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-163-mock-1038910349-f66fa07c-claude-opus-4-8\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-163-mock-1038910349-f66fa07c-claude-opus-4-8\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-163-mock-1038910349-f66fa07c-claude-opus-4-8\run\decisions.jsonl,55c3663e01a8e3ce1ee6f07a35c7cdefca8432d173dd7af25cf63f7a6ebd7a88,3a873d35407ee4531e9e7dbeda209206bc0348b2af986bd7b392b7e7909b2a96,683f8affefc774e0a3ce8ceb0d4a189298c1efea56dc9677643a08002a1ea232
CAL-004,AUCTION_COORDINATION,frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview,mock-44910-42ec35c5,52,52,"[""mock-44910-42ec35c5-dec-000149"",""mock-44910-42ec35c5-dec-000150"",""mock-44910-42ec35c5-dec-000151"",""mock-44910-42ec35c5-dec-000152""]",mock-44910-42ec35c5-evt-001003,mock-44910-42ec35c5-evt-001026,canonical AUCTION_STARTED through terminal auction event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-273-mock-44910-42ec35c5-gemini-3-flash-preview\run\decisions.jsonl,af9f0a964005dbd0b1aac7c87eebfb61785543647b3a6c3d3dcb62a32713094d,917bc4beef5cdec59400900ba43b4fb1ed556aefc2690665f677c0eee12f1d3b,e05553c2e3aacc860e9cfd82ad4df0e3e68344f9566a9b9bb23040a3c27bc50a
CAL-005,TRADE_OR_COALITION,frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview,mock-2413970733-53b199c1,137,137,"[""mock-2413970733-53b199c1-dec-000476"",""mock-2413970733-53b199c1-dec-000477""]",mock-2413970733-53b199c1-evt-003177,mock-2413970733-53b199c1-evt-003185,structured propose_trade action through first terminal trade event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-172-mock-2413970733-53b199c1-gemini-3-1-pro-preview\run\decisions.jsonl,e4df1dc9952eb77df60b7662ad675f4771faffa7ce9d5354d9d21025a6616f07,38c62cd41ce3a46906ded9971361cb4a7c7d789632553e1feaa1cdbe66345034,58ab2483c6af73d7bf560a14bf66e63afb2539420a46f2fa99f62c8c10ddda32
CAL-006,PROMISE_OR_REVERSAL,frontier-191-mock-83265-81ed4937-openai-gpt-5-5,mock-83265-81ed4937,116,126,"[""mock-83265-81ed4937-dec-000443""]",mock-83265-81ed4937-evt-002930,mock-83265-81ed4937-evt-003125,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\decisions.jsonl,c5424cc75e5b57ca739ecde778e3be7d13bddb468e667e7a259e49a4e608d50c,e4ff8d55e07302d52f017adc5d1f6de715d68efb710aa7972a7a32835316bdad,0623798519f98e98185e94405a9a655f954c59a95b756f5f05037e7f1c735161
CAL-007,FACTUAL_PUBLIC_PRIVATE,frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash,mock-24591-46c1eb90,106,106,"[""mock-24591-46c1eb90-dec-000260""]",mock-24591-46c1eb90-evt-001889,mock-24591-46c1eb90-evt-001894,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\decisions.jsonl,aa4001676d71bf15576cf0348528889114feb7e05f030f0d068882aea13f3246,c66d941c7188e121ef1ceaae4626a074d552724f54f6d733123b12b6abdff99b,13e3737fd01300b1ee7c440214f6e8f28dc2f2271f2f08fbae259d12d240df7a
CAL-008,PROMISE_OR_REVERSAL,frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview,mock-321229807-87ca99d7,18,28,"[""mock-321229807-87ca99d7-dec-000073""]",mock-321229807-87ca99d7-evt-000473,mock-321229807-87ca99d7-evt-000740,public language contains an explicit commitment cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-115-mock-321229807-87ca99d7-gemini-3-1-pro-preview\run\decisions.jsonl,23a6b306d8e7420c535b24cf3b80c19b1c1c07ae5280201baa20e47209663ab8,c245c0063054f102c713d7fd4f1e0f9234690f4d8ecccb6c4e6c87271b88c042,e999e16ae311d5b3005136e7078e441de4697d0eda62ec2015563452ada23cbb
CAL-009,AUCTION_COORDINATION,frontier-191-mock-83265-81ed4937-openai-gpt-5-5,mock-83265-81ed4937,45,45,"[""mock-83265-81ed4937-dec-000151"",""mock-83265-81ed4937-dec-000152"",""mock-83265-81ed4937-dec-000153"",""mock-83265-81ed4937-dec-000154"",""mock-83265-81ed4937-dec-000155"",""mock-83265-81ed4937-dec-000156"",""mock-83265-81ed4937-dec-000157"",""mock-83265-81ed4937-dec-000158"",""mock-83265-81ed4937-dec-000159"",""mock-83265-81ed4937-dec-000160"",""mock-83265-81ed4937-dec-000161"",""mock-83265-81ed4937-dec-000162"",""mock-83265-81ed4937-dec-000163"",""mock-83265-81ed4937-dec-000164"",""mock-83265-81ed4937-dec-000165"",""mock-83265-81ed4937-dec-000166"",""mock-83265-81ed4937-dec-000167"",""mock-83265-81ed4937-dec-000168"",""mock-83265-81ed4937-dec-000169"",""mock-83265-81ed4937-dec-000170"",""mock-83265-81ed4937-dec-000171"",""mock-83265-81ed4937-dec-000172"",""mock-83265-81ed4937-dec-000173"",""mock-83265-81ed4937-dec-000174"",""mock-83265-81ed4937-dec-000175""]",mock-83265-81ed4937-evt-001014,mock-83265-81ed4937-evt-001142,canonical AUCTION_STARTED through terminal auction event,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-191-mock-83265-81ed4937-openai-gpt-5-5\run\decisions.jsonl,c5424cc75e5b57ca739ecde778e3be7d13bddb468e667e7a259e49a4e608d50c,e4ff8d55e07302d52f017adc5d1f6de715d68efb710aa7972a7a32835316bdad,0623798519f98e98185e94405a9a655f954c59a95b756f5f05037e7f1c735161
CAL-010,FACTUAL_PUBLIC_PRIVATE,frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash,mock-24591-46c1eb90,44,44,"[""mock-24591-46c1eb90-dec-000123""]",mock-24591-46c1eb90-evt-000847,mock-24591-46c1eb90-evt-000851,public language contains a checkable economic/state cue,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\events.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\actions.jsonl,C:\Users\kushagra\OneDrive\Documents\CS Projects\MonopolyBench\saved_games\frontier-mini-154-mock-24591-46c1eb90-gemini-3-5-flash\run\decisions.jsonl,aa4001676d71bf15576cf0348528889114feb7e05f030f0d068882aea13f3246,c66d941c7188e121ef1ceaae4626a074d552724f54f6d733123b12b6abdff99b,13e3737fd01300b1ee7c440214f6e8f28dc2f2271f2f08fbae259d12d240df7a
