seq,turn_index,event_id,event_type,actor_player_id,payload
1270,63,mock-44910-42ec35c5-evt-001270,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""count"": 1}"
1340,66,mock-44910-42ec35c5-evt-001340,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 14, ""count"": 1}"
1341,66,mock-44910-42ec35c5-evt-001341,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
1464,70,mock-44910-42ec35c5-evt-001464,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
1523,75,mock-44910-42ec35c5-evt-001523,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
1524,75,mock-44910-42ec35c5-evt-001524,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 24, ""count"": 1}"
1646,78,mock-44910-42ec35c5-evt-001646,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
1647,78,mock-44910-42ec35c5-evt-001647,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
1648,78,mock-44910-42ec35c5-evt-001648,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 14, ""count"": 1}"
1709,83,mock-44910-42ec35c5-evt-001709,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 14, ""count"": 1}"
1756,87,mock-44910-42ec35c5-evt-001756,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
1757,87,mock-44910-42ec35c5-evt-001757,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
1824,93,mock-44910-42ec35c5-evt-001824,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 24, ""count"": 1}"
1945,102,mock-44910-42ec35c5-evt-001945,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 11, ""count"": 1}"
1946,102,mock-44910-42ec35c5-evt-001946,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 13, ""count"": 1}"
1947,102,mock-44910-42ec35c5-evt-001947,HOUSE_BUILT,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 14, ""count"": 1}"
1961,103,mock-44910-42ec35c5-evt-001961,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""count"": 1}"
2023,108,mock-44910-42ec35c5-evt-002023,HOUSE_BUILT,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""count"": 4}"
2024,108,mock-44910-42ec35c5-evt-002024,HOUSE_BUILT,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 3, ""count"": 4}"
2030,108,mock-44910-42ec35c5-evt-002030,HOTEL_BUILT,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""count"": 1}"
2031,108,mock-44910-42ec35c5-evt-002031,HOTEL_BUILT,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 3, ""count"": 1}"
2051,109,mock-44910-42ec35c5-evt-002051,HOTEL_SOLD,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""count"": 1}"
2052,109,mock-44910-42ec35c5-evt-002052,HOTEL_SOLD,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 3, ""count"": 1}"
2058,109,mock-44910-42ec35c5-evt-002058,HOUSE_SOLD,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""count"": 4}"
2059,109,mock-44910-42ec35c5-evt-002059,HOUSE_SOLD,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 3, ""count"": 4}"
2098,112,mock-44910-42ec35c5-evt-002098,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
2213,120,mock-44910-42ec35c5-evt-002213,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 21, ""count"": 1}"
2214,120,mock-44910-42ec35c5-evt-002214,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 23, ""count"": 1}"
2403,132,mock-44910-42ec35c5-evt-002403,HOUSE_BUILT,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 24, ""count"": 1}"
