schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000000,auction_over_list_price,high,1.0,deterministic,31,,OpenAI GPT 5.4 mini,,439,439,"[""mock-64394-c3bb8d94-evt-000439""]",[],[],OpenAI GPT 5.4 mini won PENNSYLVANIA_AVENUE for 501 over list 320,"{""list_price"": 320, ""property_space"": ""PENNSYLVANIA_AVENUE"", ""winning_bid"": 501}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000001,auction_over_list_price,medium,1.0,deterministic,117,,OpenAI GPT 5.4 mini,,1920,1920,"[""mock-64394-c3bb8d94-evt-001920""]",[],[],OpenAI GPT 5.4 mini won PACIFIC_AVENUE for 320 over list 300,"{""list_price"": 300, ""property_space"": ""PACIFIC_AVENUE"", ""winning_bid"": 320}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000002,large_rent_payment,medium,1.0,deterministic,130,,OpenAI GPT 5.4 mini,,2087,2087,"[""mock-64394-c3bb8d94-evt-002087""]",[],[],OpenAI GPT 5.4 mini paid 150 rent to Gemini 3.5 Flash,"{""amount"": 150, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000003,large_rent_payment,medium,1.0,deterministic,140,,Claude Haiku 4.5,,2293,2293,"[""mock-64394-c3bb8d94-evt-002293""]",[],[],Claude Haiku 4.5 paid 130 rent to Gemini 3.5 Flash,"{""amount"": 130, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000004,large_rent_payment,high,1.0,deterministic,150,,Claude Haiku 4.5,,2412,2412,"[""mock-64394-c3bb8d94-evt-002412""]",[],[],Claude Haiku 4.5 paid 950 rent to Grok 4.3,"{""amount"": 950, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000005,large_rent_payment,high,1.0,deterministic,154,,Gemini 3.5 Flash,,2539,2539,"[""mock-64394-c3bb8d94-evt-002539""]",[],[],Gemini 3.5 Flash paid 950 rent to Grok 4.3,"{""amount"": 950, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000006,missing_tool_call,high,1.0,deterministic,108,mock-64394-c3bb8d94-dec-000233,Grok 4.3,x-ai/grok-4.3,1735,1739,"[""mock-64394-c3bb8d94-evt-001735"", ""mock-64394-c3bb8d94-evt-001736"", ""mock-64394-c3bb8d94-evt-001737"", ""mock-64394-c3bb8d94-evt-001738"", ""mock-64394-c3bb8d94-evt-001739""]","[""mock-64394-c3bb8d94-dec-000233""]","[""mock-64394-c3bb8d94-dec-000233""]",No tool call found,"{""validation_error"": ""No tool call found""}",{},,False,not_required,"[""missing_tool_call""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000007,schema_failure,high,1.0,deterministic,117,mock-64394-c3bb8d94-dec-000260,Gemini 3.5 Flash,google/gemini-3.5-flash,1909,1913,"[""mock-64394-c3bb8d94-evt-001909"", ""mock-64394-c3bb8d94-evt-001910"", ""mock-64394-c3bb8d94-evt-001911"", ""mock-64394-c3bb8d94-evt-001912"", ""mock-64394-c3bb8d94-evt-001913""]","[""mock-64394-c3bb8d94-dec-000260""]","[""mock-64394-c3bb8d94-dec-000260""]",Insufficient cash for bid,"{""validation_error"": ""Insufficient cash for bid""}",{},,False,not_required,"[""schema_failure""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000008,missing_tool_call,high,1.0,deterministic,119,mock-64394-c3bb8d94-dec-000266,Gemini 3.5 Flash,google/gemini-3.5-flash,1956,1959,"[""mock-64394-c3bb8d94-evt-001956"", ""mock-64394-c3bb8d94-evt-001957"", ""mock-64394-c3bb8d94-evt-001958"", ""mock-64394-c3bb8d94-evt-001959""]","[""mock-64394-c3bb8d94-dec-000266""]","[""mock-64394-c3bb8d94-dec-000266""]",No tool call found,"{""validation_error"": ""No tool call found""}",{},,False,not_required,"[""missing_tool_call""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-64394-c3bb8d94,failure-000009,schema_failure,high,1.0,deterministic,121,mock-64394-c3bb8d94-dec-000269,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,1979,1985,"[""mock-64394-c3bb8d94-evt-001979"", ""mock-64394-c3bb8d94-evt-001980"", ""mock-64394-c3bb8d94-evt-001981"", ""mock-64394-c3bb8d94-evt-001982"", ""mock-64394-c3bb8d94-evt-001983"", ""mock-64394-c3bb8d94-evt-001984"", ""mock-64394-c3bb8d94-evt-001985""]","[""mock-64394-c3bb8d94-dec-000269""]","[""mock-64394-c3bb8d94-dec-000269""]",Unknown space_key.,"{""validation_error"": ""Unknown space_key.""}",{},,False,not_required,"[""schema_failure""]"
