seq,turn_index,event_type,player_id,payload
0,0,GAME_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000000"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 0, ""ts_ms"": 0, ""turn_index"": 0, ""type"": ""GAME_STARTED""}"
1,0,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000001"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 1, ""ts_ms"": 250, ""turn_index"": 0, ""type"": ""TURN_STARTED""}"
2,0,DICE_ROLLED,,"{""d1"": 6, ""d2"": 5, ""is_double"": false}"
3,0,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 11}"
4,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000000"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""OpenAI GPT 5.5""}"
5,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-83265-81ed4937-dec-000000"", ""error"": null, ""player_id"": ""OpenAI GPT 5.5"", ""valid"": true}"
6,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000000"", ""message"": ""Opening with St. Charles. Pink is a solid early set—I'll take it."", ""player_id"": ""OpenAI GPT 5.5""}"
7,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000000"", ""player_id"": ""OpenAI GPT 5.5"", ""thought"": ""Buy. $140 is cheap, pink/orange region is strong, and early property acquisition is essential. Cash remains healthy at $1360.""}"
8,0,PROPERTY_PURCHASED,,"{""player_id"": ""OpenAI GPT 5.5"", ""price"": 140, ""space_index"": 11}"
9,0,CASH_CHANGED,,"{""delta"": -140, ""player_id"": ""OpenAI GPT 5.5"", ""reason"": ""buy_property""}"
10,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000001"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""OpenAI GPT 5.5""}"
11,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-83265-81ed4937-dec-000001"", ""error"": null, ""player_id"": ""OpenAI GPT 5.5"", ""valid"": true}"
12,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000001"", ""message"": ""No further moves for now. Let's see how the board develops."", ""player_id"": ""OpenAI GPT 5.5""}"
13,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000001"", ""player_id"": ""OpenAI GPT 5.5"", ""thought"": ""Too early to trade; nobody else owns property. Keep St. Charles unmortgaged and conserve cash.""}"
14,0,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000014"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 14, ""ts_ms"": 3500, ""turn_index"": 0, ""type"": ""TURN_ENDED""}"
15,1,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000015"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 15, ""ts_ms"": 3750, ""turn_index"": 1, ""type"": ""TURN_STARTED""}"
16,1,DICE_ROLLED,,"{""d1"": 6, ""d2"": 2, ""is_double"": false}"
17,1,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 8}"
18,1,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000002"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""Claude Opus 4.8""}"
19,1,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-83265-81ed4937-dec-000002"", ""error"": null, ""player_id"": ""Claude Opus 4.8"", ""valid"": true}"
20,1,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000002"", ""message"": ""Vermont's a fair price. I'll take it and start building toward the light blues."", ""player_id"": ""Claude Opus 4.8""}"
21,1,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000002"", ""player_id"": ""Claude Opus 4.8"", ""thought"": ""$100 for a light blue at turn 1 is a good value buy. Cheap to develop ($50/house) with strong ROI. Keeps cash at $1400, plenty of buffer. Targeting Oriental + Connecticut to complete the set.""}"
22,1,PROPERTY_PURCHASED,,"{""player_id"": ""Claude Opus 4.8"", ""price"": 100, ""space_index"": 8}"
23,1,CASH_CHANGED,,"{""delta"": -100, ""player_id"": ""Claude Opus 4.8"", ""reason"": ""buy_property""}"
24,1,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000003"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Claude Opus 4.8""}"
25,1,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-83265-81ed4937-dec-000003"", ""error"": null, ""player_id"": ""Claude Opus 4.8"", ""valid"": true}"
26,1,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000003"", ""message"": ""Vermont's a start. Happy to talk light-blue or pink deals down the road."", ""player_id"": ""Claude Opus 4.8""}"
27,1,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000003"", ""player_id"": ""Claude Opus 4.8"", ""thought"": ""Turn 1, only own Vermont. No trades make sense yet—too early, nobody has complementary monopolies. Keep $1400 buffer. Target Oriental + Connecticut to complete light blues. End turn.""}"
28,1,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000028"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 28, ""ts_ms"": 7000, ""turn_index"": 1, ""type"": ""TURN_ENDED""}"
29,2,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000029"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 29, ""ts_ms"": 7250, ""turn_index"": 2, ""type"": ""TURN_STARTED""}"
30,2,DICE_ROLLED,,"{""d1"": 1, ""d2"": 1, ""is_double"": true}"
31,2,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 2}"
32,2,CARD_DRAWN,,"{""card_id"": ""BANK_ERROR_COLLECT_200"", ""deck_type"": ""COMMUNITY_CHEST""}"
33,2,CASH_CHANGED,,"{""delta"": 200, ""player_id"": ""Gemini 3.1 Pro Preview"", ""reason"": ""BANK_ERROR_COLLECT_200""}"
34,2,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000004"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Gemini 3.1 Pro Preview""}"
35,2,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-83265-81ed4937-dec-000004"", ""error"": null, ""player_id"": ""Gemini 3.1 Pro Preview"", ""valid"": true}"
36,2,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000004"", ""message"": ""Nothing to do currently. Passing the turn."", ""player_id"": ""Gemini 3.1 Pro Preview""}"
37,2,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000004"", ""player_id"": ""Gemini 3.1 Pro Preview"", ""thought"": ""I own no properties yet to trade. Ending turn is the best action here as it's the beginning of the game.""}"
38,2,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000038"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 38, ""ts_ms"": 9500, ""turn_index"": 2, ""type"": ""TURN_ENDED""}"
39,3,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000039"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 39, ""ts_ms"": 9750, ""turn_index"": 3, ""type"": ""TURN_STARTED""}"
40,3,DICE_ROLLED,,"{""d1"": 2, ""d2"": 6, ""is_double"": false}"
41,3,PLAYER_MOVED,,"{""from"": 2, ""passed_go"": false, ""to"": 10}"
42,3,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000005"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Gemini 3.1 Pro Preview""}"
43,3,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-83265-81ed4937-dec-000005"", ""error"": null, ""player_id"": ""Gemini 3.1 Pro Preview"", ""valid"": true}"
44,3,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-83265-81ed4937-dec-000005"", ""message"": ""Passing my turn, good luck on the rolls!"", ""player_id"": ""Gemini 3.1 Pro Preview""}"
45,3,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-83265-81ed4937-dec-000005"", ""player_id"": ""Gemini 3.1 Pro Preview"", ""thought"": ""Still early game, I have no properties to trade and there's no reason to buy single properties from others for pure cash at a premium right now. Ending turn.""}"
46,3,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000046"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 46, ""ts_ms"": 11500, ""turn_index"": 3, ""type"": ""TURN_ENDED""}"
47,4,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-83265-81ed4937-evt-000047"", ""payload"": {}, ""run_id"": ""mock-83265-81ed4937"", ""schema_version"": ""v1"", ""seq"": 47, ""ts_ms"": 11750, ""turn_index"": 4, ""type"": ""TURN_STARTED""}"
48,4,DICE_ROLLED,,"{""d1"": 4, ""d2"": 6, ""is_double"": false}"
49,4,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 10}"
50,4,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-83265-81ed4937-dec-000006"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Grok 4.3""}"
