decision_row_index,phase,turn_index,decision_id,decision_type,player_id,attempts,retry_count,fallback_used,validation_errors,selected_action_type,selected_action,latency_ms
0,decision_started,0,mock-64394-c3bb8d94-dec-000000,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.4 mini,0,0,False,[],,{},
1,decision_resolved,0,mock-64394-c3bb8d94-dec-000000,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.4 mini,1,0,False,[],,{},2335
2,decision_started,0,mock-64394-c3bb8d94-dec-000001,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,0,0,False,[],,{},
3,decision_resolved,0,mock-64394-c3bb8d94-dec-000001,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,1,0,False,[],,{},1908
4,decision_started,1,mock-64394-c3bb8d94-dec-000002,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,0,0,False,[],,{},
5,decision_resolved,1,mock-64394-c3bb8d94-dec-000002,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,1,0,False,[],,{},3726
6,decision_started,2,mock-64394-c3bb8d94-dec-000003,BUY_OR_AUCTION_DECISION,Claude Haiku 4.5,0,0,False,[],,{},
7,decision_resolved,2,mock-64394-c3bb8d94-dec-000003,BUY_OR_AUCTION_DECISION,Claude Haiku 4.5,1,0,False,[],,{},12759
8,decision_started,2,mock-64394-c3bb8d94-dec-000004,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,0,0,False,[],,{},
9,decision_resolved,2,mock-64394-c3bb8d94-dec-000004,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,1,0,False,[],,{},9001
10,decision_started,3,mock-64394-c3bb8d94-dec-000005,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,0,0,False,[],,{},
11,decision_resolved,3,mock-64394-c3bb8d94-dec-000005,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,1,0,False,[],,{},2513
12,decision_started,4,mock-64394-c3bb8d94-dec-000006,BUY_OR_AUCTION_DECISION,Grok 4.3,0,0,False,[],,{},
13,decision_resolved,4,mock-64394-c3bb8d94-dec-000006,BUY_OR_AUCTION_DECISION,Grok 4.3,1,0,False,[],,{},7680
14,decision_started,4,mock-64394-c3bb8d94-dec-000007,POST_TURN_ACTION_DECISION,Grok 4.3,0,0,False,[],,{},
15,decision_resolved,4,mock-64394-c3bb8d94-dec-000007,POST_TURN_ACTION_DECISION,Grok 4.3,1,0,False,[],,{},8461
16,decision_started,5,mock-64394-c3bb8d94-dec-000008,POST_TURN_ACTION_DECISION,Grok 4.3,0,0,False,[],,{},
17,decision_resolved,5,mock-64394-c3bb8d94-dec-000008,POST_TURN_ACTION_DECISION,Grok 4.3,1,0,False,[],,{},7860
18,decision_started,7,mock-64394-c3bb8d94-dec-000009,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,0,0,False,[],,{},
19,decision_resolved,7,mock-64394-c3bb8d94-dec-000009,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,1,0,False,[],,{},13462
20,decision_started,8,mock-64394-c3bb8d94-dec-000010,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,0,0,False,[],,{},
21,decision_resolved,8,mock-64394-c3bb8d94-dec-000010,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,1,0,False,[],,{},4949
