call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
0,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000000,0,0,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2217,208,41,2425,0,0.016285,5031,False,False,,,200,gen-1784106240-XDz0gQNlqOyUZv51FfZF
1,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000001,0,0,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2941,191,50,3132,0,0.01948,4107,False,False,,,200,gen-1784106246-5lUft3a6EdtKv2fAUPw9
2,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000002,0,1,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1339,193,141,1532,0,0.004994,3269,False,False,,,200,gen-1784106250-hJ4GPfhLck6ez1jUAJ9N
3,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000003,0,1,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1760,86,48,1846,0,0.004552,2536,False,False,,,200,gen-1784106253-pA5wQXwqzI50n5Xbcoqn
4,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000004,0,2,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1816,191,131,2007,0,0.005924,3303,False,False,,,200,gen-1784106256-0i0P6QjKdP0KzQAYerMr
5,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000005,0,4,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1910,428,363,2338,128,0.0033231,6707,False,False,,,200,gen-1784106259-uZpQWIeZMGFAtCE4KxO2
6,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000006,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1706,486,347,2192,0,0.02311,15203,False,False,,,200,gen-1784106266-57zxdTKcvwyzbxVyC3wn
7,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000007,0,5,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,2137,393,316,2530,0,0.00899,5332,False,False,,,200,gen-1784106282-buFywRr85aznq2Ig2Oll
8,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000008,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1916,445,305,2361,0,0.02293,18317,False,False,,,200,gen-1784106287-kozFyPADRDKpwbRAVf9B
9,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000009,0,5,TRADE_RESPONSE_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,3997,258,42,4255,0,0.026435,4943,False,False,,,200,gen-1784106306-hcJiOMIih1wJrKS18Ytx
10,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000010,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2140,655,516,2795,0,0.03035,23903,False,False,,,200,gen-1784106311-dHh6jQ3n6oCQUD0DLmf5
11,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000011,0,5,TRADE_RESPONSE_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,2554,274,190,2828,0,0.008396,3879,False,False,,,200,gen-1784106335-wM74kVqeIAckdUqoya6u
12,mock-3676466999-527872e4,mock-3676466999-527872e4-dec-000012,0,5,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,2348,278,218,2626,0,0.02008,10987,False,False,,,200,gen-1784106339-z6vQbLDg0fkUFLCDXKCE
