decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-24591-46c1eb90-dec-000000,0,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3191,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000001,0,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2208,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000002,1,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,5746,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000003,2,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2106,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000004,2,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2082,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000005,3,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7921,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000006,4,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,4283,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000007,4,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3242,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000008,5,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,24900,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000009,5,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,8851,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000010,6,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3053,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000011,7,Grok 4.3,BUY_OR_AUCTION_DECISION,start_auction,1,0,False,False,10444,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000012,7,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,8186,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000013,7,Claude Haiku 4.5,AUCTION_BID_DECISION,drop_out,1,0,False,False,12635,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000014,7,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2429,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000015,7,Grok 4.3,AUCTION_BID_DECISION,drop_out,1,0,False,False,9344,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000016,7,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,8034,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000017,7,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2102,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000018,7,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,4642,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000019,7,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2858,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000020,7,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,drop_out,1,0,False,False,2064,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000021,7,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,6422,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000022,8,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2654,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000023,8,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,6550,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000024,9,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,13974,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000025,9,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,14042,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000026,10,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2096,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000027,10,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2340,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000028,11,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7925,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000029,12,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,6433,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000030,12,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3137,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000031,13,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,start_auction,1,0,False,False,14123,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000032,13,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2686,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000033,13,Grok 4.3,AUCTION_BID_DECISION,drop_out,1,0,False,False,9136,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000034,13,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,5703,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000035,13,Claude Haiku 4.5,AUCTION_BID_DECISION,drop_out,1,0,False,False,13743,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000036,13,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,1741,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000037,13,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,7044,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000038,13,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2468,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000039,13,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,drop_out,1,0,False,False,7727,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000040,13,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,14698,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000041,14,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3487,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000042,15,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,8082,True,NOT_SCORED_NO_ORACLE
mock-24591-46c1eb90-dec-000043,15,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7479,True,NOT_SCORED_NO_ORACLE
