seq,turn_index,event_type,player_id,payload
0,0,GAME_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-24591-46c1eb90-evt-000000"", ""payload"": {}, ""run_id"": ""mock-24591-46c1eb90"", ""schema_version"": ""v1"", ""seq"": 0, ""ts_ms"": 0, ""turn_index"": 0, ""type"": ""GAME_STARTED""}"
1,0,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-24591-46c1eb90-evt-000001"", ""payload"": {}, ""run_id"": ""mock-24591-46c1eb90"", ""schema_version"": ""v1"", ""seq"": 1, ""ts_ms"": 250, ""turn_index"": 0, ""type"": ""TURN_STARTED""}"
2,0,DICE_ROLLED,,"{""d1"": 2, ""d2"": 6, ""is_double"": false}"
3,0,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 8}"
4,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000000"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""OpenAI GPT 5.4 mini""}"
5,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-24591-46c1eb90-dec-000000"", ""error"": null, ""player_id"": ""OpenAI GPT 5.4 mini"", ""valid"": true}"
6,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000000"", ""message"": ""Buying Vermont Avenue."", ""player_id"": ""OpenAI GPT 5.4 mini""}"
7,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000000"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""thought"": ""Early game; always buy cheap properties to build future monopolies and increase board control.""}"
8,0,PROPERTY_PURCHASED,,"{""player_id"": ""OpenAI GPT 5.4 mini"", ""price"": 100, ""space_index"": 8}"
9,0,CASH_CHANGED,,"{""delta"": -100, ""player_id"": ""OpenAI GPT 5.4 mini"", ""reason"": ""buy_property""}"
10,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000001"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""OpenAI GPT 5.4 mini""}"
11,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-24591-46c1eb90-dec-000001"", ""error"": null, ""player_id"": ""OpenAI GPT 5.4 mini"", ""valid"": true}"
12,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000001"", ""message"": ""Done for now."", ""player_id"": ""OpenAI GPT 5.4 mini""}"
13,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-24591-46c1eb90-dec-000001"", ""player_id"": ""OpenAI GPT 5.4 mini"", ""thought"": ""Early game; no useful trade or mortgage action. Keep cash liquid and end turn.""}"
14,0,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-24591-46c1eb90-evt-000014"", ""payload"": {}, ""run_id"": ""mock-24591-46c1eb90"", ""schema_version"": ""v1"", ""seq"": 14, ""ts_ms"": 3500, ""turn_index"": 0, ""type"": ""TURN_ENDED""}"
