decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-64394-c3bb8d94-dec-000000,0,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2335,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000001,0,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,1908,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000002,1,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3726,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000003,2,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,12759,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000004,2,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,9001,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000005,3,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2513,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000006,4,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,7680,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000007,4,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,8461,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000008,5,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,7860,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000009,7,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,13462,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000010,8,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4949,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000011,9,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,10567,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000012,9,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,8687,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000013,10,OpenAI GPT 5.4 mini,JAIL_DECISION,pay_jail_fine,1,0,False,False,6011,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000014,10,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,1970,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000015,11,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,11489,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000016,12,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,1900,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000017,12,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2859,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000018,14,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2133,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000019,14,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2762,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000020,16,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3403,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000021,17,Grok 4.3,JAIL_DECISION,roll_for_doubles,1,0,False,False,13319,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000022,18,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3177,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000023,18,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,6449,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000024,19,Claude Haiku 4.5,JAIL_DECISION,pay_jail_fine,1,0,False,False,12173,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000025,19,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,15393,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000026,20,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2066,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000027,20,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3951,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000028,21,Grok 4.3,JAIL_DECISION,roll_for_doubles,1,0,False,False,9104,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000029,22,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2172,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000030,23,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,15375,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000031,24,Gemini 3.5 Flash,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2233,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000032,24,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3062,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000033,25,Grok 4.3,JAIL_DECISION,roll_for_doubles,1,0,False,False,13536,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000034,25,Grok 4.3,JAIL_DECISION,pay_jail_fine,1,0,False,False,8755,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000035,25,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,11160,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000036,26,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2872,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000037,27,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,15958,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000038,27,Claude Haiku 4.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,14473,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000039,28,Gemini 3.5 Flash,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,5242,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000040,29,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,13782,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000041,30,OpenAI GPT 5.4 mini,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3003,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000042,30,OpenAI GPT 5.4 mini,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2955,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000043,31,Claude Haiku 4.5,BUY_OR_AUCTION_DECISION,start_auction,1,0,False,False,14645,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000044,31,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,3987,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000045,31,Grok 4.3,AUCTION_BID_DECISION,drop_out,1,0,False,False,12603,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000046,31,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,6875,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000047,31,Claude Haiku 4.5,AUCTION_BID_DECISION,drop_out,1,0,False,False,13046,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000048,31,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,2696,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000049,31,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,13592,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000050,31,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,3677,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000051,31,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,15759,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000052,31,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,10931,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000053,31,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,11349,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000054,31,Gemini 3.5 Flash,AUCTION_BID_DECISION,bid_auction,1,0,False,False,3348,True,NOT_SCORED_NO_ORACLE
mock-64394-c3bb8d94-dec-000055,31,OpenAI GPT 5.4 mini,AUCTION_BID_DECISION,bid_auction,1,0,False,False,12951,True,NOT_SCORED_NO_ORACLE
