schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000000,auction_over_list_price,high,1.0,deterministic,31,,Gemini 3.1 Pro Preview,,629,629,"[""mock-83265-81ed4937-evt-000629""]",[],[],Gemini 3.1 Pro Preview won PARK_PLACE for 650 over list 350,"{""list_price"": 350, ""property_space"": ""PARK_PLACE"", ""winning_bid"": 650}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000001,auction_over_list_price,high,1.0,deterministic,37,,Claude Opus 4.8,,794,794,"[""mock-83265-81ed4937-evt-000794""]",[],[],Claude Opus 4.8 won TENNESSEE_AVENUE for 280 over list 180,"{""list_price"": 180, ""property_space"": ""TENNESSEE_AVENUE"", ""winning_bid"": 280}",{},,False,not_required,"[""auction_over_list_price""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000002,large_rent_payment,high,1.0,deterministic,54,,Grok 4.3,,1433,1433,"[""mock-83265-81ed4937-evt-001433""]",[],[],Grok 4.3 paid 900 rent to OpenAI GPT 5.5,"{""amount"": 900, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000003,large_rent_payment,high,1.0,deterministic,64,,Claude Opus 4.8,,1704,1704,"[""mock-83265-81ed4937-evt-001704""]",[],[],Claude Opus 4.8 paid 750 rent to OpenAI GPT 5.5,"{""amount"": 750, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000004,large_rent_payment,high,1.0,deterministic,77,,Gemini 3.1 Pro Preview,,1843,1843,"[""mock-83265-81ed4937-evt-001843""]",[],[],Gemini 3.1 Pro Preview paid 900 rent to OpenAI GPT 5.5,"{""amount"": 900, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000005,large_rent_payment,medium,1.0,deterministic,89,,OpenAI GPT 5.5,,2385,2385,"[""mock-83265-81ed4937-evt-002385""]",[],[],OpenAI GPT 5.5 paid 400 rent to Claude Opus 4.8,"{""amount"": 400, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000006,large_rent_payment,medium,1.0,deterministic,92,,Grok 4.3,,2438,2438,"[""mock-83265-81ed4937-evt-002438""]",[],[],Grok 4.3 paid 250 rent to OpenAI GPT 5.5,"{""amount"": 250, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000007,large_rent_payment,high,1.0,deterministic,98,,Grok 4.3,,2505,2505,"[""mock-83265-81ed4937-evt-002505""]",[],[],Grok 4.3 paid 900 rent to OpenAI GPT 5.5,"{""amount"": 900, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000008,large_rent_payment,high,1.0,deterministic,103,,Gemini 3.1 Pro Preview,,2631,2631,"[""mock-83265-81ed4937-evt-002631""]",[],[],Gemini 3.1 Pro Preview paid 750 rent to OpenAI GPT 5.5,"{""amount"": 750, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-83265-81ed4937,failure-000009,large_rent_payment,medium,1.0,deterministic,114,,OpenAI GPT 5.5,,2869,2869,"[""mock-83265-81ed4937-evt-002869""]",[],[],OpenAI GPT 5.5 paid 400 rent to Claude Opus 4.8,"{""amount"": 400, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
