call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
224,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000217,0,71,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3644,3285,3085,6929,0,0.11677,138151,False,False,,,200,gen-1783949607-QeCigdnIZyNTclvuJomR
151,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000148,0,41,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3569,1005,929,4574,0,0.047995,135407,False,False,,,200,gen-1783948123-Re1rnA0DN6b7TuHwniYW
474,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000458,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4482,4850,4660,9332,0,0.16791,133579,False,False,,,200,gen-1783974309-ktiVfKxFntZGwa1yClgl
317,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000309,0,89,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3756,4863,4692,8619,0,0.16467,129184,False,False,,,200,gen-1783971151-BtEv7KakAXZwnOfOLl7T
528,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000512,0,147,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,3827,3953,3783,7780,0,0.137725,121725,False,False,,,200,gen-1783975813-8zn4ENz2tD2Ofhbjm9iD
242,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000235,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4116,3486,3311,7602,0,0.12516,115583,False,False,,,200,gen-1783950351-MdsZKZtK4ECf8jnGsdYB
560,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000543,0,151,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4043,4674,4487,8717,0,0.160435,111613,False,False,,,200,gen-1783976608-klYUYr0tJA0vhAhG7Q0E
244,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000237,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4109,3558,3361,7667,0,0.127285,110587,False,False,,,200,gen-1783950476-iTj4WtpMfPEY11TkQemb
465,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000450,0,137,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4354,3674,3482,8028,0,0.13199,108999,False,False,,,200,gen-1783973836-hywGYOTgUqujjCMvodip
428,mock-2413970733-53b199c1,mock-2413970733-53b199c1-dec-000414,0,132,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,4053,3739,3578,7792,0,0.132435,103458,False,False,,,200,gen-1783972877-seH9T8WMv5C3ekyjhVhY
