finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,summary,human_review_required,tags
failure-000000,auction_over_list_price,medium,1.0,deterministic,15,,OpenAI GPT 5.4 Mini,,OpenAI GPT 5.4 Mini won MEDITERRANEAN_AVENUE for 70 over list 60,False,auction_over_list_price
failure-000001,auction_over_list_price,medium,1.0,deterministic,40,,Grok 4.3,,Grok 4.3 won ILLINOIS_AVENUE for 300 over list 240,False,auction_over_list_price
failure-000002,large_rent_payment,medium,1.0,deterministic,98,,Grok 4.3,,Grok 4.3 paid 450 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000003,large_rent_payment,high,1.0,deterministic,130,,Claude Haiku 4.5,,Claude Haiku 4.5 paid 700 rent to Grok 4.3,False,large_rent_payment
failure-000004,large_rent_payment,high,1.0,deterministic,136,,Claude Haiku 4.5,,Claude Haiku 4.5 paid 750 rent to Grok 4.3,False,large_rent_payment
failure-000005,large_rent_payment,high,1.0,deterministic,142,,Claude Haiku 4.5,,Claude Haiku 4.5 paid 625 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000006,large_rent_payment,medium,1.0,deterministic,145,,Claude Haiku 4.5,,Claude Haiku 4.5 paid 200 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000007,large_rent_payment,medium,1.0,deterministic,163,,Claude Haiku 4.5,,Claude Haiku 4.5 paid 400 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000008,large_rent_payment,high,1.0,deterministic,172,,Grok 4.3,,Grok 4.3 paid 600 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000009,large_rent_payment,high,1.0,deterministic,173,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview paid 700 rent to Grok 4.3,False,large_rent_payment
failure-000010,large_rent_payment,high,1.0,deterministic,181,,Grok 4.3,,Grok 4.3 paid 700 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000011,large_rent_payment,high,1.0,deterministic,182,,Grok 4.3,,Grok 4.3 paid 800 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000012,large_rent_payment,high,1.0,deterministic,187,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview paid 750 rent to Grok 4.3,False,large_rent_payment
failure-000013,large_rent_payment,high,1.0,deterministic,191,,Grok 4.3,,Grok 4.3 paid 750 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000014,large_rent_payment,medium,1.0,deterministic,195,,Grok 4.3,,Grok 4.3 paid 200 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000015,large_rent_payment,medium,1.0,deterministic,199,,Grok 4.3,,Grok 4.3 paid 450 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000016,large_rent_payment,high,1.0,deterministic,201,,Grok 4.3,,Grok 4.3 paid 700 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000017,large_rent_payment,high,1.0,deterministic,210,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview paid 750 rent to Grok 4.3,False,large_rent_payment
failure-000018,large_rent_payment,high,1.0,deterministic,219,,Grok 4.3,,Grok 4.3 paid 625 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000019,large_rent_payment,medium,1.0,deterministic,227,,Grok 4.3,,Grok 4.3 paid 120 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000020,large_rent_payment,medium,1.0,deterministic,230,,Grok 4.3,,Grok 4.3 paid 200 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000021,large_rent_payment,medium,1.0,deterministic,234,,Gemini 3 Flash Preview,,Gemini 3 Flash Preview paid 100 rent to Grok 4.3,False,large_rent_payment
failure-000022,large_rent_payment,high,1.0,deterministic,237,,Grok 4.3,,Grok 4.3 paid 750 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000023,large_rent_payment,medium,1.0,deterministic,249,,Grok 4.3,,Grok 4.3 paid 450 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000024,large_rent_payment,medium,1.0,deterministic,256,,Grok 4.3,,Grok 4.3 paid 200 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000025,large_rent_payment,high,1.0,deterministic,260,,Grok 4.3,,Grok 4.3 paid 625 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000026,large_rent_payment,medium,1.0,deterministic,262,,Grok 4.3,,Grok 4.3 paid 200 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000027,large_rent_payment,medium,1.0,deterministic,264,,Grok 4.3,,Grok 4.3 paid 110 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000028,large_rent_payment,medium,1.0,deterministic,269,,Grok 4.3,,Grok 4.3 paid 160 rent to Gemini 3 Flash Preview,False,large_rent_payment
failure-000029,missing_tool_call,high,1.0,deterministic,48,mock-44910-42ec35c5-dec-000129,Grok 4.3,x-ai/grok-4.3,No tool call found,False,missing_tool_call
