decision_id,actor_player_id,decision_type,turn_index,action,decision_meta
mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,0,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000000"", ""private_thought"": ""Pink is a high-traffic, high-ROI group near jail. $140 for a monopoly cornerstone is worth it early. Cash stays at $1360, plenty for flexibility. Start building toward the pink monopoly."", ""public_message"": ""I'll take St. Charles Place."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000001,Claude Opus 4.8,POST_TURN_ACTION_DECISION,0,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000001"", ""private_thought"": ""Turn 0, only own St. Charles. No trades possible—opponents have nothing to offer yet. Keep cash at $1360 for flexibility. End turn."", ""public_message"": ""St. Charles is a good start. Onward."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000002,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,1,"{""action"": ""buy_property"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000002"", ""private_thought"": ""Early game, need to accumulate as much property as possible to build a monopoly later. Light blues are cheap and effective."", ""public_message"": ""Buying Vermont Avenue."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000003,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,1,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000003"", ""private_thought"": ""Nothing else to do this turn. Ending turn."", ""public_message"": ""Good luck everyone!"", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000004,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,2,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000004"", ""private_thought"": ""I have ample cash and only one property. No trades or mortgages make sense right now. I will end my turn."", ""public_message"": ""I'm satisfied with this turn. Passing the dice!"", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000005,Grok 4.3,POST_TURN_ACTION_DECISION,4,"{""action"": ""end_turn"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000005"", ""private_thought"": ""No properties to build/mortgage/trade usefully. Just paid rent, early game, best to end turn and wait for opportunities. No benefit in proposing trades with limited holdings."", ""public_message"": ""Passing the turn. Let's see what comes next."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000006,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,5,"{""action"": ""propose_trade"", ""args"": {""offer"": {""cash"": 140, ""get_out_of_jail_cards"": 0, ""properties"": []}, ""request"": {""cash"": 0, ""get_out_of_jail_cards"": 0, ""properties"": [""VERMONT_AVENUE""]}, ""to_player_id"": ""Gemini 3.1 Pro Preview""}, ""decision_id"": ""mock-3676466999-527872e4-dec-000006"", ""private_thought"": ""Try to pick up Vermont at a modest premium; light blues are cheap to complete/develop if I later land Oriental/Connecticut. Don’t overpay early."", ""public_message"": ""Gemini, I’ll give you $140 for Vermont—solid profit now while you’re in jail and cash stays flexible."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000007,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,5,"{""action"": ""reject_trade"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000007"", ""private_thought"": ""I don't need cash right now, property is much more valuable in the early game. Selling my only property for a small profit is a bad move."", ""public_message"": ""No thanks! I'd rather hold onto the property for now, cash isn't an issue."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000008,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,5,"{""action"": ""propose_trade"", ""args"": {""offer"": {""cash"": 180, ""get_out_of_jail_cards"": 0, ""properties"": []}, ""request"": {""cash"": 0, ""get_out_of_jail_cards"": 0, ""properties"": [""ST_CHARLES_PLACE""]}, ""to_player_id"": ""Claude Opus 4.8""}, ""decision_id"": ""mock-3676466999-527872e4-dec-000008"", ""private_thought"": ""Try to buy into pink at a reasonable premium. If Claude accepts, good foothold; if not, no harm. Don’t chase Vermont higher yet after rejection."", ""public_message"": ""Claude, I’ll offer $180 for St. Charles—clean $40 profit early while the rest of that color group is still unclaimed."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000009,Claude Opus 4.8,TRADE_RESPONSE_DECISION,5,"{""action"": ""reject_trade"", ""args"": {}, ""decision_id"": ""mock-3676466999-527872e4-dec-000009"", ""private_thought"": ""St. Charles is a cornerstone of the high-ROI pink group near jail. $180 (just $40 profit) is nowhere near its strategic value. GPT clearly wants it—another reason to hold. Keep it and work toward States/Virginia for the monopoly."", ""public_message"": ""Thanks, but St. Charles isn't for sale. The pink group is prime real estate right by jail—I'm building toward that monopoly, not flipping it for pocket change."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
mock-3676466999-527872e4-dec-000010,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,5,"{""action"": ""propose_trade"", ""args"": {""offer"": {""cash"": 170, ""get_out_of_jail_cards"": 0, ""properties"": []}, ""request"": {""cash"": 0, ""get_out_of_jail_cards"": 0, ""properties"": [""VERMONT_AVENUE""]}, ""to_player_id"": ""Gemini 3.1 Pro Preview""}, ""decision_id"": ""mock-3676466999-527872e4-dec-000010"", ""private_thought"": ""I still want a foothold in light blue; $170 is a tolerable premium given cheap development and two unowned mates. If rejected, stop chasing."", ""public_message"": ""Gemini, one last bump: $170 for Vermont. That’s a 70% premium and keeps you highly liquid early."", ""schema_version"": ""v1""}","{""error"": null, ""valid"": true}"
