schema_version,review_label_version,queue_item_id,run_id,decision_id,turn_index,player_id,model_id,finding_ids,failure_ids,severity,reason_for_review,suggested_labels,status,reviewer_id,review_mode,artifact_paths,sampling
v1,review_label_v1,review-000000,mock-3676466999-527872e4,,29,Claude Opus 4.8,,"[""trace-000083""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000001,mock-3676466999-527872e4,,77,OpenAI GPT 5.5,,"[""trace-000210""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000002,mock-3676466999-527872e4,,77,Claude Opus 4.8,,"[""trace-000211""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000003,mock-3676466999-527872e4,,77,OpenAI GPT 5.5,,"[""trace-000212""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000004,mock-3676466999-527872e4,,77,Gemini 3.1 Pro Preview,,"[""trace-000216""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000005,mock-3676466999-527872e4,,77,OpenAI GPT 5.5,,"[""trace-000217""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000006,mock-3676466999-527872e4,,99,Grok 4.3,,"[""trace-000292""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000007,mock-3676466999-527872e4,,99,Claude Opus 4.8,,"[""trace-000293""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000008,mock-3676466999-527872e4,,99,Grok 4.3,,"[""trace-000294""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000009,mock-3676466999-527872e4,,117,Grok 4.3,,"[""trace-000334""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000010,mock-3676466999-527872e4,,117,Claude Opus 4.8,,"[""trace-000335""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000011,mock-3676466999-527872e4,,117,Grok 4.3,,"[""trace-000336""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000012,mock-3676466999-527872e4,,122,Grok 4.3,,"[""trace-000382""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000013,mock-3676466999-527872e4,,122,OpenAI GPT 5.5,,"[""trace-000383""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000014,mock-3676466999-527872e4,,126,OpenAI GPT 5.5,,"[""trace-000392""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000015,mock-3676466999-527872e4,,126,Claude Opus 4.8,,"[""trace-000393""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000016,mock-3676466999-527872e4,,126,OpenAI GPT 5.5,,"[""trace-000394""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000017,mock-3676466999-527872e4,,128,Gemini 3.1 Pro Preview,,"[""trace-000410""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000018,mock-3676466999-527872e4,,128,Claude Opus 4.8,,"[""trace-000411""]",[],high,major_cash_swing,"[""major_cash_swing""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
v1,review_label_v1,review-000019,mock-3676466999-527872e4,,128,Gemini 3.1 Pro Preview,,"[""trace-000412""]",[],high,large_rent_payment,"[""large_rent_payment""]",unreviewed,local_reviewer,human_only,"{""decisions"": ""decisions.jsonl"", ""events"": ""events.jsonl"", ""failure_findings"": ""failure_findings.jsonl"", ""replay"": ""replay.jsonl"", ""trace_findings"": ""trace_findings.jsonl""}",
