call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
0,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000000,0,0,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,1146,113,58,1259,0,0.001368,2335,False,False,,,200,gen-1782791165-i9qRN5C59B7JJ4ahD89L
1,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000001,0,0,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,1413,85,39,1498,0,0.00144225,1908,False,False,,,200,gen-1782791167-tW8rKzemXJNA3hCTq8jy
2,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000002,0,1,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,1474,191,125,1665,0,0.001965,3726,False,False,,,200,gen-1782791169-LZ4CMpoGRKy01kU7bQzh
3,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000003,0,2,BUY_OR_AUCTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,1805,1022,670,2827,0,0.006915,12759,False,False,,,200,gen-1782791173-h0YZK3ShVM6OmsJT3xIs
4,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000004,0,2,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,2330,830,478,3160,0,0.00648,9001,False,False,,,200,gen-1782791186-lWn8m6Yohc9rWFaeNHua
5,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000005,0,3,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,1770,404,298,2174,0,0.006291,2513,False,False,,,200,gen-1782791195-RDv2dLu3OQXzlRzFRCgg
6,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000006,0,4,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1624,336,271,1960,128,0.0027356,7680,False,False,,,200,gen-1782791197-GJiX3SYFQB7MbHbMesTh
7,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000007,0,4,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2071,447,386,2518,128,0.00357185,8461,False,False,,,200,gen-1782791205-0Uy3PxENbWyeFdGJAqmU
8,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000008,0,5,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2198,382,331,2580,128,0.0035681,7860,False,False,,,200,gen-1782791214-JkSwvNNstsEtIxzboqcz
9,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000009,0,7,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,2904,1328,671,4232,0,0.009544,13462,False,False,,,200,gen-1782791222-urwp8upopPA1Z5ys8CYZ
