decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-83265-81ed4937-dec-000000,0,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2361,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000001,0,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3758,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000002,1,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,4533,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000003,1,Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4253,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000004,2,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3485,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000005,3,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3120,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000006,4,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4213,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000007,5,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3814,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000008,5,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,8874,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000009,6,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,6968,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000010,6,Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,6214,True,NOT_SCORED_NO_ORACLE
mock-83265-81ed4937-dec-000011,7,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4040,True,NOT_SCORED_NO_ORACLE
