evidence_id,artifact_type,provenance,source_path,run_relative_source_path,locator_type,locator,source_locator,source_object_id,source_sequence,source_turn,source_attempt,description,referenced_outputs_json,referenced_sections_json,referenced_outputs_sections,resolution_status
E-EVT-000000,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000000,mock-83265-81ed4937-evt-000000,mock-83265-81ed4937-evt-000000,0,0,,GAME_STARTED event at sequence 0,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000001,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000001,mock-83265-81ed4937-evt-000001,mock-83265-81ed4937-evt-000001,1,0,,TURN_STARTED event at sequence 1,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000002,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000002,mock-83265-81ed4937-evt-000002,mock-83265-81ed4937-evt-000002,2,0,,DICE_ROLLED event at sequence 2,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000003,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000003,mock-83265-81ed4937-evt-000003,mock-83265-81ed4937-evt-000003,3,0,,PLAYER_MOVED event at sequence 3,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000004,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000004,mock-83265-81ed4937-evt-000004,mock-83265-81ed4937-evt-000004,4,0,,LLM_DECISION_REQUESTED event at sequence 4,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000005,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000005,mock-83265-81ed4937-evt-000005,mock-83265-81ed4937-evt-000005,5,0,,LLM_DECISION_RESPONSE event at sequence 5,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000006,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000006,mock-83265-81ed4937-evt-000006,mock-83265-81ed4937-evt-000006,6,0,,LLM_PUBLIC_MESSAGE event at sequence 6,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000007,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000007,mock-83265-81ed4937-evt-000007,mock-83265-81ed4937-evt-000007,7,0,,LLM_PRIVATE_THOUGHT event at sequence 7,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000008,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000008,mock-83265-81ed4937-evt-000008,mock-83265-81ed4937-evt-000008,8,0,,PROPERTY_PURCHASED event at sequence 8,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
E-EVT-000009,event,frozen_source,run/events.jsonl,run/events.jsonl,event_id,mock-83265-81ed4937-evt-000009,mock-83265-81ed4937-evt-000009,mock-83265-81ed4937-evt-000009,9,0,,CASH_CHANGED event at sequence 9,"[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]","[""RB-000-002""]","[""chronological_turn_review.md"",""review_packet.jsonl"",""case_studies.md""]",resolved
