call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
232,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000227,0,76,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3522,5561,5388,9083,0,0.027666,46654,False,False,,,200,gen-1780838918-PSP4M8ZrozB2sQ3HnBpC
240,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000234,1,76,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3583,3944,3803,7527,3328,0.01818885,42381,True,False,,,200,gen-1780839056-zaPzsjd54OpnOXPpnX4R
199,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000195,0,66,TRADE_RESPONSE_DECISION,Gemini 3 Flash Preview,google/gemini-3-flash-preview,gemini-3-flash-preview,tool_calls,actual_openrouter_usage,4924,3587,3405,8511,0,0.013223,18879,False,False,,,200,gen-1780838476-7hvqhwpE385Ez8vssXb3
231,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000226,0,76,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3516,3342,3275,6858,0,0.017676,29920,False,False,,,200,gen-1780838888-FG3xTkOYTFqPhjuoqKmy
134,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000133,0,48,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3249,3256,3097,6505,0,0.01708875,27290,False,False,,,200,gen-1780837628-UCsd96msiCcEVid9zCrm
159,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000157,0,54,POST_TURN_ACTION_DECISION,Gemini 3 Flash Preview,google/gemini-3-flash-preview,gemini-3-flash-preview,tool_calls,actual_openrouter_usage,4379,3276,3047,7655,0,0.0120175,19097,False,False,,,200,gen-1780837951-R1Ebu14yBxy9DvnCXzk5
211,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000207,0,68,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3671,3123,2986,6794,0,0.01680675,27418,False,False,,,200,gen-1780838613-eAuFeEiFoecBWer3543r
136,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000135,0,48,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 Mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3309,3117,2972,6426,0,0.01650825,27088,False,False,,,200,gen-1780837663-pZ1Y0jkKcQHSc25OQqH4
197,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000193,0,66,POST_TURN_ACTION_DECISION,Gemini 3 Flash Preview,google/gemini-3-flash-preview,gemini-3-flash-preview,tool_calls,actual_openrouter_usage,4881,3238,2955,8119,0,0.0121545,17047,False,False,,,200,gen-1780838447-ihlROWq5izVWvK14VChI
364,mock-44910-42ec35c5,mock-44910-42ec35c5-dec-000356,0,143,POST_TURN_ACTION_DECISION,Gemini 3 Flash Preview,google/gemini-3-flash-preview,gemini-3-flash-preview,tool_calls,actual_openrouter_usage,5536,3328,2935,8864,0,0.012752,18532,False,False,,,200,gen-1780840734-qfwpAOwmdjXateFImujm
