decision_row_index,phase,turn_index,decision_id,decision_type,player_id,attempts,retry_count,fallback_used,validation_errors,selected_action_type,selected_action,latency_ms
0,decision_started,0,mock-321229807-87ca99d7-dec-000000,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,0,0,False,[],,{},
1,decision_resolved,0,mock-321229807-87ca99d7-dec-000000,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,1,0,False,[],,{},4676
2,decision_started,0,mock-321229807-87ca99d7-dec-000001,POST_TURN_ACTION_DECISION,Claude Opus 4.8,0,0,False,[],,{},
3,decision_resolved,0,mock-321229807-87ca99d7-dec-000001,POST_TURN_ACTION_DECISION,Claude Opus 4.8,1,0,False,[],,{},6148
4,decision_started,1,mock-321229807-87ca99d7-dec-000002,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,0,0,False,[],,{},
5,decision_resolved,1,mock-321229807-87ca99d7-dec-000002,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,1,0,False,[],,{},3132
6,decision_started,1,mock-321229807-87ca99d7-dec-000003,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,0,0,False,[],,{},
7,decision_resolved,1,mock-321229807-87ca99d7-dec-000003,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,1,0,False,[],,{},2340
8,decision_started,2,mock-321229807-87ca99d7-dec-000004,BUY_OR_AUCTION_DECISION,Grok 4.3,0,0,False,[],,{},
9,decision_resolved,2,mock-321229807-87ca99d7-dec-000004,BUY_OR_AUCTION_DECISION,Grok 4.3,1,0,False,[],,{},5560
10,decision_started,2,mock-321229807-87ca99d7-dec-000005,POST_TURN_ACTION_DECISION,Grok 4.3,0,0,False,[],,{},
11,decision_resolved,2,mock-321229807-87ca99d7-dec-000005,POST_TURN_ACTION_DECISION,Grok 4.3,1,0,False,[],,{},4802
12,decision_started,3,mock-321229807-87ca99d7-dec-000006,BUY_OR_AUCTION_DECISION,Grok 4.3,0,0,False,[],,{},
13,decision_resolved,3,mock-321229807-87ca99d7-dec-000006,BUY_OR_AUCTION_DECISION,Grok 4.3,1,0,False,[],,{},5649
14,decision_started,3,mock-321229807-87ca99d7-dec-000007,POST_TURN_ACTION_DECISION,Grok 4.3,0,0,False,[],,{},
15,decision_resolved,3,mock-321229807-87ca99d7-dec-000007,POST_TURN_ACTION_DECISION,Grok 4.3,1,0,False,[],,{},3651
16,decision_started,4,mock-321229807-87ca99d7-dec-000008,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.5,0,0,False,[],,{},
