call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
0,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000000,0,0,BUY_OR_AUCTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2217,231,38,2448,0,0.01686,4676,False,False,,,200,gen-1784095840-XpKHjo1QN1a82p1KM1ZH
1,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000001,0,0,POST_TURN_ACTION_DECISION,Claude Opus 4.8,anthropic/claude-opus-4.8,claude-opus-4.8,tool_calls,actual_openrouter_usage,2969,202,40,3171,0,0.019895,6148,False,False,,,200,gen-1784095845-3VvPODPE4xJfIW3Y0daC
2,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000002,0,1,BUY_OR_AUCTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1342,226,160,1568,0,0.005396,3132,False,False,,,200,gen-1784095851-AD6IkVqx8syTtNm5Bav0
3,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000003,0,1,POST_TURN_ACTION_DECISION,Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,gemini-3.1-pro-preview,tool_calls,actual_openrouter_usage,1777,123,77,1900,0,0.00503,2340,False,False,,,200,gen-1784095854-WBRu4Wfyuv1aYeiPk7Hk
4,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000004,0,2,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1570,336,271,1906,192,0.0026009,5560,False,False,,,200,gen-1784095857-TwGuPs5nkAcBOseymyKi
5,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000005,0,2,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2016,268,215,2284,1024,0.0021148,4802,False,False,,,200,gen-1784095863-RVfTdyUxqo2dOPwmMpxd
6,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000006,0,3,BUY_OR_AUCTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,1759,318,259,2077,128,0.00285935,5649,False,False,,,200,gen-1784095868-YmXdRoynnovmgIsguLvm
7,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000007,0,3,POST_TURN_ACTION_DECISION,Grok 4.3,x-ai/grok-4.3,grok-4.3,tool_calls,actual_openrouter_usage,2208,305,249,2513,1024,0.0024473,3651,False,False,,,200,gen-1784095874-tSmGLCJ45nIN5IEAvXTd
8,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000008,0,4,BUY_OR_AUCTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1617,110,47,1727,0,0.011385,2906,False,False,,,200,gen-1784095877-CH3Dc7yzkuDOp5i1DdBe
9,mock-321229807-87ca99d7,mock-321229807-87ca99d7-dec-000009,0,4,POST_TURN_ACTION_DECISION,OpenAI GPT 5.5,openai/gpt-5.5,gpt-5.5,tool_calls,actual_openrouter_usage,1881,493,354,2374,0,0.024195,11566,False,False,,,200,gen-1784095880-7VC6JngfTAuXTtFELT2V
