call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
262,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000261,0,106,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3786,7833,7680,11619,0,0.038088,90904,False,False,,,200,gen-1783400035-hnd6scA9EbN0R3HZXmNy
248,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000247,0,99,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4596,5721,5429,10317,0,0.058383,25184,False,False,,,200,gen-1783399855-YHvomJ5a7LNi4PHjt8gp
382,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000377,0,142,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4892,4875,4730,9767,0,0.051213,22651,False,False,,,200,gen-1783401852-OTf2dxFVU2y08hQe4l64
343,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000340,0,131,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3900,4414,4277,8314,0,0.022788,42006,False,False,,,200,gen-1783401367-JAA73bwemmYmYmu9MEQo
160,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000159,0,57,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4756,4131,3859,8887,0,0.044313,21575,False,False,,,200,gen-1783398835-ZSQWvZpMT6S39Xw8zwGp
217,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000216,0,81,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4458,3906,3689,8364,0,0.041841,18678,False,False,,,200,gen-1783399512-Ydhd0cOwDuvQSlOSrOO6
314,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000312,0,124,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3599,3748,3624,7347,0,0.01956525,35369,False,False,,,200,gen-1783400957-xWWigFDEsnhgLO6K04Pq
203,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000202,0,69,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3417,3670,3590,7087,0,0.01907775,40224,False,False,,,200,gen-1783399340-dcuDUFzXhchFd7ErRjSY
176,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000175,0,61,AUCTION_BID_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3455,3530,3455,6985,0,0.01847625,50534,False,False,,,200,gen-1783399035-5tordGBe3RcVpMl8BO78
272,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000271,0,109,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3651,3513,3430,7164,0,0.01854675,30851,False,False,,,200,gen-1783400281-x42qRbpEjBiJLHvdVh3J
