seq,turn_index,event_type,player_id,payload
0,0,GAME_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000000"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 0, ""ts_ms"": 0, ""turn_index"": 0, ""type"": ""GAME_STARTED""}"
1,0,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000001"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 1, ""ts_ms"": 250, ""turn_index"": 0, ""type"": ""TURN_STARTED""}"
2,0,DICE_ROLLED,,"{""d1"": 3, ""d2"": 4, ""is_double"": false}"
3,0,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 7}"
4,0,CARD_DRAWN,,"{""card_id"": ""GET_OUT_OF_JAIL_FREE"", ""deck_type"": ""CHANCE""}"
5,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000000"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Claude Opus 4.8""}"
6,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-1038910349-f66fa07c-dec-000000"", ""error"": null, ""player_id"": ""Claude Opus 4.8"", ""valid"": true}"
7,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000000"", ""message"": ""Good luck, everyone. Let's play."", ""player_id"": ""Claude Opus 4.8""}"
8,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000000"", ""player_id"": ""Claude Opus 4.8"", ""thought"": ""Turn 0, no properties owned, no trades worth making. Just end turn and start acquiring properties.""}"
9,0,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000009"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 9, ""ts_ms"": 2250, ""turn_index"": 0, ""type"": ""TURN_ENDED""}"
10,1,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000010"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 10, ""ts_ms"": 2500, ""turn_index"": 1, ""type"": ""TURN_STARTED""}"
11,1,DICE_ROLLED,,"{""d1"": 6, ""d2"": 1, ""is_double"": false}"
12,1,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 7}"
13,1,CARD_DRAWN,,"{""card_id"": ""BUILDING_LOAN_MATURES_RECEIVE_150"", ""deck_type"": ""CHANCE""}"
14,1,CASH_CHANGED,,"{""delta"": 150, ""player_id"": ""Gemini 3.1 Pro Preview"", ""reason"": ""BUILDING_LOAN_MATURES_RECEIVE_150""}"
15,1,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000001"", ""decision_type"": ""POST_TURN_ACTION_DECISION"", ""player_id"": ""Gemini 3.1 Pro Preview""}"
16,1,LLM_DECISION_RESPONSE,,"{""action_name"": ""end_turn"", ""decision_id"": ""mock-1038910349-f66fa07c-dec-000001"", ""error"": null, ""player_id"": ""Gemini 3.1 Pro Preview"", ""valid"": true}"
17,1,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000001"", ""message"": ""Good start. Over to you, Grok!"", ""player_id"": ""Gemini 3.1 Pro Preview""}"
18,1,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000001"", ""player_id"": ""Gemini 3.1 Pro Preview"", ""thought"": ""I have no properties and don't need a Get Out of Jail card right now. Ending my turn.""}"
19,1,TURN_ENDED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000019"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 19, ""ts_ms"": 4750, ""turn_index"": 1, ""type"": ""TURN_ENDED""}"
20,2,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-1038910349-f66fa07c-evt-000020"", ""payload"": {}, ""run_id"": ""mock-1038910349-f66fa07c"", ""schema_version"": ""v1"", ""seq"": 20, ""ts_ms"": 5000, ""turn_index"": 2, ""type"": ""TURN_STARTED""}"
21,2,DICE_ROLLED,,"{""d1"": 4, ""d2"": 4, ""is_double"": true}"
22,2,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 8}"
23,2,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000002"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""Grok 4.3""}"
24,2,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-1038910349-f66fa07c-dec-000002"", ""error"": null, ""player_id"": ""Grok 4.3"", ""valid"": true}"
25,2,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000002"", ""message"": ""I'll take Vermont Avenue for $100. Let's get this game rolling!"", ""player_id"": ""Grok 4.3""}"
26,2,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-1038910349-f66fa07c-dec-000002"", ""player_id"": ""Grok 4.3"", ""thought"": ""Early game, buy cheap properties to start building towards monopolies. Light blue group has potential, $100 is a good price with 1500 cash. No reason to auction this.""}"
27,2,PROPERTY_PURCHASED,,"{""player_id"": ""Grok 4.3"", ""price"": 100, ""space_index"": 8}"
