schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000000,property_purchase,low,1.0,deterministic,2,,Grok 4.3,,27,27,"[""mock-1038910349-f66fa07c-evt-000027""]",[],[],Grok 4.3 purchased property for 100,"{""price"": 100, ""property_space"": null, ""space_index"": 8}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000001,property_purchase,low,1.0,deterministic,3,,Grok 4.3,,41,41,"[""mock-1038910349-f66fa07c-evt-000041""]",[],[],Grok 4.3 purchased property for 180,"{""price"": 180, ""property_space"": null, ""space_index"": 18}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000002,sent_to_jail,medium,1.0,deterministic,4,,Grok 4.3,,51,51,"[""mock-1038910349-f66fa07c-evt-000051""]",[],[],Grok 4.3 was sent to jail,"{""player_id"": ""Grok 4.3"", ""reason"": ""THREE_DOUBLES""}",{},,False,not_required,"[""sent_to_jail""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000003,trade_proposed,low,1.0,deterministic,5,,OpenAI GPT 5.5,,62,62,"[""mock-1038910349-f66fa07c-evt-000062""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000004,trade_rejected,low,1.0,deterministic,5,,OpenAI GPT 5.5,,67,67,"[""mock-1038910349-f66fa07c-evt-000067""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000005,trade_proposed,low,1.0,deterministic,5,,OpenAI GPT 5.5,,72,72,"[""mock-1038910349-f66fa07c-evt-000072""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000006,trade_rejected,low,1.0,deterministic,5,,OpenAI GPT 5.5,,77,77,"[""mock-1038910349-f66fa07c-evt-000077""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000007,trade_proposed,low,1.0,deterministic,5,,OpenAI GPT 5.5,,82,82,"[""mock-1038910349-f66fa07c-evt-000082""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000008,trade_rejected,low,1.0,deterministic,5,,OpenAI GPT 5.5,,87,87,"[""mock-1038910349-f66fa07c-evt-000087""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000009,property_purchase,low,1.0,deterministic,6,,OpenAI GPT 5.5,,102,102,"[""mock-1038910349-f66fa07c-evt-000102""]",[],[],OpenAI GPT 5.5 purchased property for 400,"{""price"": 400, ""property_space"": null, ""space_index"": 39}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000010,major_cash_swing,medium,1.0,deterministic,6,,OpenAI GPT 5.5,,103,103,"[""mock-1038910349-f66fa07c-evt-000103""]",[],[],OpenAI GPT 5.5 cash changed by -400 for buy_property,"{""delta"": -400, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000011,trade_proposed,low,1.0,deterministic,6,,OpenAI GPT 5.5,,108,108,"[""mock-1038910349-f66fa07c-evt-000108""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000012,trade_rejected,low,1.0,deterministic,6,,OpenAI GPT 5.5,,113,113,"[""mock-1038910349-f66fa07c-evt-000113""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000013,property_purchase,low,1.0,deterministic,7,,Claude Opus 4.8,,126,126,"[""mock-1038910349-f66fa07c-evt-000126""]",[],[],Claude Opus 4.8 purchased property for 180,"{""price"": 180, ""property_space"": null, ""space_index"": 16}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000014,property_purchase,low,1.0,deterministic,8,,Gemini 3.1 Pro Preview,,140,140,"[""mock-1038910349-f66fa07c-evt-000140""]",[],[],Gemini 3.1 Pro Preview purchased property for 140,"{""price"": 140, ""property_space"": null, ""space_index"": 11}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000015,major_cash_swing,medium,1.0,deterministic,10,,OpenAI GPT 5.5,,157,157,"[""mock-1038910349-f66fa07c-evt-000157""]",[],[],OpenAI GPT 5.5 cash changed by 200 for PASS_GO,"{""delta"": 200, ""reason"": ""PASS_GO""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000016,trade_proposed,low,1.0,deterministic,10,,OpenAI GPT 5.5,,165,165,"[""mock-1038910349-f66fa07c-evt-000165""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000017,trade_rejected,low,1.0,deterministic,10,,OpenAI GPT 5.5,,170,170,"[""mock-1038910349-f66fa07c-evt-000170""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Claude Opus 4.8,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000018,trade_proposed,low,1.0,deterministic,10,,OpenAI GPT 5.5,,175,175,"[""mock-1038910349-f66fa07c-evt-000175""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000019,trade_rejected,low,1.0,deterministic,10,,OpenAI GPT 5.5,,180,180,"[""mock-1038910349-f66fa07c-evt-000180""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Gemini 3.1 Pro Preview,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000020,trade_proposed,low,1.0,deterministic,10,,OpenAI GPT 5.5,,185,185,"[""mock-1038910349-f66fa07c-evt-000185""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000021,trade_rejected,low,1.0,deterministic,10,,OpenAI GPT 5.5,,190,190,"[""mock-1038910349-f66fa07c-evt-000190""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000022,trade_proposed,low,1.0,deterministic,10,,OpenAI GPT 5.5,,195,195,"[""mock-1038910349-f66fa07c-evt-000195""]",[],[],TRADE_PROPOSED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_proposed""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000023,trade_rejected,low,1.0,deterministic,10,,OpenAI GPT 5.5,,200,200,"[""mock-1038910349-f66fa07c-evt-000200""]",[],[],TRADE_REJECTED between OpenAI GPT 5.5 and Grok 4.3,"{""exchange_index"": 0}",{},,False,not_required,"[""trade_rejected""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000024,property_purchase,low,1.0,deterministic,11,,Claude Opus 4.8,,213,213,"[""mock-1038910349-f66fa07c-evt-000213""]",[],[],Claude Opus 4.8 purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 25}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000025,major_cash_swing,medium,1.0,deterministic,11,,Claude Opus 4.8,,214,214,"[""mock-1038910349-f66fa07c-evt-000214""]",[],[],Claude Opus 4.8 cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000026,property_purchase,low,1.0,deterministic,12,,Gemini 3.1 Pro Preview,,227,227,"[""mock-1038910349-f66fa07c-evt-000227""]",[],[],Gemini 3.1 Pro Preview purchased property for 200,"{""price"": 200, ""property_space"": null, ""space_index"": 19}",{},,False,not_required,"[""property_purchase""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000027,major_cash_swing,medium,1.0,deterministic,12,,Gemini 3.1 Pro Preview,,228,228,"[""mock-1038910349-f66fa07c-evt-000228""]",[],[],Gemini 3.1 Pro Preview cash changed by -200 for buy_property,"{""delta"": -200, ""reason"": ""buy_property""}",{},,False,not_required,"[""major_cash_swing""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,trace,mock-1038910349-f66fa07c,trace-000028,property_purchase,low,1.0,deterministic,13,,Gemini 3.1 Pro Preview,,241,241,"[""mock-1038910349-f66fa07c-evt-000241""]",[],[],Gemini 3.1 Pro Preview purchased property for 280,"{""price"": 280, ""property_space"": null, ""space_index"": 29}",{},,False,not_required,"[""property_purchase""]"
