call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
267,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000265,0,119,TRADE_RESPONSE_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3352,4155,4096,7507,0,0.0212115,38653,False,False,,,200,gen-1782794505-UoDhaOrknfz52cXL1Bea
242,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000241,0,112,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3458,4139,3988,7597,0,0.021219,29447,False,False,,,200,gen-1782794087-PbXRwhoOTdFnCe6dm8zX
232,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000232,0,108,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3289,3990,3811,7279,0,0.02042175,32904,False,False,,,200,gen-1782793915-NSx6ujRwrIB7K4OqA0sY
218,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000218,0,98,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3109,3758,3624,6867,0,0.01924275,28100,False,False,,,200,gen-1782793692-m1AMvZrDlThku9jCon3h
133,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000133,0,53,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3970,3297,3232,7267,0,0.017814,23583,False,False,,,200,gen-1782792561-3hA19bijRczDXq1pjFIf
189,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000189,0,75,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3446,3239,3106,6685,0,0.01716,28548,False,False,,,200,gen-1782793282-thOBiBjoM5RYkAg5kYzg
104,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000104,0,45,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3299,3178,3035,6477,0,0.01677525,26865,False,False,,,200,gen-1782792140-1PMRSNi1tb0InowyvzYU
246,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000245,0,112,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3699,3000,2936,6699,0,0.01627425,23760,False,False,,,200,gen-1782794158-FKCfYL5g0KDwcpfJg7dV
276,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000272,0,123,POST_TURN_ACTION_DECISION,Gemini 3.5 Flash,google/gemini-3.5-flash,gemini-3.5-flash,tool_calls,actual_openrouter_usage,4471,3118,2903,7589,0,0.0347685,16151,False,False,,,200,gen-1782794752-CVWpbaoAFjeHJu2MngVG
304,mock-64394-c3bb8d94,mock-64394-c3bb8d94-dec-000298,1,134,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3698,2952,2867,6650,3328,0.0138111,25149,True,False,,,200,gen-1782795078-tggeszGR5uZPzYNV4mpK
