decision_id,turn_index,player_id,decision_type,action,attempt_count,invalid_attempts,retry_used,fallback_used,latency_ms,applied,optimality_status
mock-321229807-87ca99d7-dec-000000,0,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,4676,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000001,0,Claude Opus 4.8,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,6148,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000002,1,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,3132,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000003,1,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,2340,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000004,2,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,5560,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000005,2,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,4802,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000006,3,Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,5649,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000007,3,Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,1,0,False,False,3651,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000008,4,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,buy_property,1,0,False,False,2906,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000009,4,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,11566,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000010,4,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,counter_trade,1,0,False,False,7119,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000011,4,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION,counter_trade,1,0,False,False,16855,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000012,4,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,counter_trade,2,1,True,False,12051,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000013,4,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION,accept_trade,1,0,False,False,12353,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000014,4,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,1,0,False,False,12891,True,NOT_SCORED_NO_ORACLE
mock-321229807-87ca99d7-dec-000015,4,Grok 4.3,TRADE_RESPONSE_DECISION,reject_trade,1,0,False,False,5926,True,NOT_SCORED_NO_ORACLE
