call_index,run_id,decision_id,attempt_index,turn_index,decision_type,player_id,openrouter_model_id,model_display_name,finish_reason,accounting_status,input_tokens,output_tokens,reasoning_tokens,total_tokens,cached_tokens,cost,latency_ms,retry_used,fallback_used,fallback_reason,error_type,openrouter_status_code,generation_id
262,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000261,0,106,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3786,7833,7680,11619,0,0.038088,90904,False,False,,,200,gen-1783400035-hnd6scA9EbN0R3HZXmNy
82,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000082,0,35,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4504,6140,2023,10644,0,0.035204,54373,False,False,,,200,gen-1783397891-ZO6PnuwpdYeyXRHR3W5t
176,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000175,0,61,AUCTION_BID_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3455,3530,3455,6985,0,0.01847625,50534,False,False,,,200,gen-1783399035-5tordGBe3RcVpMl8BO78
285,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000284,0,117,LIQUIDATION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3412,2751,2588,6163,0,0.0149385,50073,False,False,,,200,gen-1783400445-rusYcrH0C7PTk8jfdOQY
343,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000340,0,131,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3900,4414,4277,8314,0,0.022788,42006,False,False,,,200,gen-1783401367-JAA73bwemmYmYmu9MEQo
146,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000145,0,55,POST_TURN_ACTION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4960,4438,1713,9398,0,0.02715,41049,False,False,,,200,gen-1783398625-ejvkUE58nSuG4ZAdY5UX
203,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000202,0,69,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3417,3670,3590,7087,0,0.01907775,40224,False,False,,,200,gen-1783399340-dcuDUFzXhchFd7ErRjSY
293,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000292,0,117,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3438,2301,2226,5739,0,0.012933,39355,False,False,,,200,gen-1783400659-WVNcE8ebhNBxlm5DUbs1
388,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000383,0,147,LIQUIDATION_DECISION,Claude Haiku 4.5,anthropic/claude-haiku-4.5,claude-haiku-4.5,tool_calls,actual_openrouter_usage,4433,4016,1543,8449,0,0.024513,39115,False,False,,,200,gen-1783401946-XpWBC9OxeL61SX9x62KY
269,mock-24591-46c1eb90,mock-24591-46c1eb90-dec-000268,0,109,POST_TURN_ACTION_DECISION,OpenAI GPT 5.4 mini,openai/gpt-5.4-mini,gpt-5.4-mini,tool_calls,actual_openrouter_usage,3517,2627,2494,6144,0,0.01445925,36616,False,False,,,200,gen-1783400220-aiUgbqwMUvqUm5pIIAWA
