schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000000,large_rent_payment,medium,1.0,deterministic,41,,OpenAI GPT 5.5,,830,830,"[""mock-3676466999-527872e4-evt-000830""]",[],[],OpenAI GPT 5.5 paid 300 rent to Gemini 3.1 Pro Preview,"{""amount"": 300, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000001,large_rent_payment,medium,1.0,deterministic,44,,Grok 4.3,,877,877,"[""mock-3676466999-527872e4-evt-000877""]",[],[],Grok 4.3 paid 450 rent to Claude Opus 4.8,"{""amount"": 450, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000002,large_rent_payment,medium,1.0,deterministic,45,,OpenAI GPT 5.5,,888,888,"[""mock-3676466999-527872e4-evt-000888""]",[],[],OpenAI GPT 5.5 paid 450 rent to Claude Opus 4.8,"{""amount"": 450, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000003,large_rent_payment,medium,1.0,deterministic,69,,Grok 4.3,,1387,1387,"[""mock-3676466999-527872e4-evt-001387""]",[],[],Grok 4.3 paid 400 rent to Gemini 3.1 Pro Preview,"{""amount"": 400, ""to_player_id"": ""Gemini 3.1 Pro Preview""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000004,large_rent_payment,medium,1.0,deterministic,73,,Claude Opus 4.8,,1474,1474,"[""mock-3676466999-527872e4-evt-001474""]",[],[],Claude Opus 4.8 paid 100 rent to OpenAI GPT 5.5,"{""amount"": 100, ""to_player_id"": ""OpenAI GPT 5.5""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000005,large_rent_payment,high,1.0,deterministic,77,,OpenAI GPT 5.5,,1523,1523,"[""mock-3676466999-527872e4-evt-001523""]",[],[],OpenAI GPT 5.5 paid 625 rent to Claude Opus 4.8,"{""amount"": 625, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000006,large_rent_payment,medium,1.0,deterministic,82,,Claude Opus 4.8,,1653,1653,"[""mock-3676466999-527872e4-evt-001653""]",[],[],Claude Opus 4.8 paid 200 rent to Grok 4.3,"{""amount"": 200, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000007,large_rent_payment,medium,1.0,deterministic,88,,Claude Opus 4.8,,1851,1851,"[""mock-3676466999-527872e4-evt-001851""]",[],[],Claude Opus 4.8 paid 200 rent to Grok 4.3,"{""amount"": 200, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000008,large_rent_payment,high,1.0,deterministic,99,,Grok 4.3,,2025,2025,"[""mock-3676466999-527872e4-evt-002025""]",[],[],Grok 4.3 paid 625 rent to Claude Opus 4.8,"{""amount"": 625, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000009,large_rent_payment,medium,1.0,deterministic,102,,Claude Opus 4.8,,2052,2052,"[""mock-3676466999-527872e4-evt-002052""]",[],[],Claude Opus 4.8 paid 200 rent to Grok 4.3,"{""amount"": 200, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000010,large_rent_payment,high,1.0,deterministic,117,,Grok 4.3,,2349,2349,"[""mock-3676466999-527872e4-evt-002349""]",[],[],Grok 4.3 paid 700 rent to Claude Opus 4.8,"{""amount"": 700, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000011,large_rent_payment,high,1.0,deterministic,126,,OpenAI GPT 5.5,,2661,2661,"[""mock-3676466999-527872e4-evt-002661""]",[],[],OpenAI GPT 5.5 paid 700 rent to Claude Opus 4.8,"{""amount"": 700, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-3676466999-527872e4,failure-000012,large_rent_payment,high,1.0,deterministic,128,,Gemini 3.1 Pro Preview,,2754,2754,"[""mock-3676466999-527872e4-evt-002754""]",[],[],Gemini 3.1 Pro Preview paid 625 rent to Claude Opus 4.8,"{""amount"": 625, ""to_player_id"": ""Claude Opus 4.8""}",{},,False,not_required,"[""large_rent_payment""]"
