seq,turn_index,event_type,player_id,payload
0,0,GAME_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-3676466999-527872e4-evt-000000"", ""payload"": {}, ""run_id"": ""mock-3676466999-527872e4"", ""schema_version"": ""v1"", ""seq"": 0, ""ts_ms"": 0, ""turn_index"": 0, ""type"": ""GAME_STARTED""}"
1,0,TURN_STARTED,,"{""actor"": {""kind"": ""ENGINE"", ""player_id"": null}, ""event_id"": ""mock-3676466999-527872e4-evt-000001"", ""payload"": {}, ""run_id"": ""mock-3676466999-527872e4"", ""schema_version"": ""v1"", ""seq"": 1, ""ts_ms"": 250, ""turn_index"": 0, ""type"": ""TURN_STARTED""}"
2,0,DICE_ROLLED,,"{""d1"": 6, ""d2"": 5, ""is_double"": false}"
3,0,PLAYER_MOVED,,"{""from"": 0, ""passed_go"": false, ""to"": 11}"
4,0,LLM_DECISION_REQUESTED,,"{""decision_id"": ""mock-3676466999-527872e4-dec-000000"", ""decision_type"": ""BUY_OR_AUCTION_DECISION"", ""player_id"": ""Claude Opus 4.8""}"
5,0,LLM_DECISION_RESPONSE,,"{""action_name"": ""buy_property"", ""decision_id"": ""mock-3676466999-527872e4-dec-000000"", ""error"": null, ""player_id"": ""Claude Opus 4.8"", ""valid"": true}"
6,0,LLM_PUBLIC_MESSAGE,,"{""decision_id"": ""mock-3676466999-527872e4-dec-000000"", ""message"": ""I'll take St. Charles Place."", ""player_id"": ""Claude Opus 4.8""}"
7,0,LLM_PRIVATE_THOUGHT,,"{""decision_id"": ""mock-3676466999-527872e4-dec-000000"", ""player_id"": ""Claude Opus 4.8"", ""thought"": ""Pink is a high-traffic, high-ROI group near jail. $140 for a monopoly cornerstone is worth it early. Cash stays at $1360, plenty for flexibility. Start building toward the pink monopoly.""}"
8,0,PROPERTY_PURCHASED,,"{""player_id"": ""Claude Opus 4.8"", ""price"": 140, ""space_index"": 11}"
9,0,CASH_CHANGED,,"{""delta"": -140, ""player_id"": ""Claude Opus 4.8"", ""reason"": ""buy_property""}"
