schema_version,trace_analyzer_version,failure_taxonomy_version,kind,run_id,finding_id,finding_type,severity,confidence,status,turn_index,decision_id,player_id,model_id,event_seq_start,event_seq_end,supporting_event_ids,supporting_action_ids,supporting_decision_ids,summary,details,derived_metrics,snapshot_path,human_review_required,human_review_status,tags
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000000,large_rent_payment,medium,1.0,deterministic,54,,OpenAI GPT 5.4 mini,,1000,1000,"[""mock-24591-46c1eb90-evt-001000""]",[],[],OpenAI GPT 5.4 mini paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000001,large_rent_payment,medium,1.0,deterministic,62,,Gemini 3.5 Flash,,1217,1217,"[""mock-24591-46c1eb90-evt-001217""]",[],[],Gemini 3.5 Flash paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000002,large_rent_payment,high,1.0,deterministic,65,,OpenAI GPT 5.4 mini,,1316,1316,"[""mock-24591-46c1eb90-evt-001316""]",[],[],OpenAI GPT 5.4 mini paid 600 rent to Gemini 3.5 Flash,"{""amount"": 600, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000003,large_rent_payment,medium,1.0,deterministic,74,,OpenAI GPT 5.4 mini,,1446,1446,"[""mock-24591-46c1eb90-evt-001446""]",[],[],OpenAI GPT 5.4 mini paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000004,large_rent_payment,medium,1.0,deterministic,80,,Claude Haiku 4.5,,1510,1510,"[""mock-24591-46c1eb90-evt-001510""]",[],[],Claude Haiku 4.5 paid 100 rent to Grok 4.3,"{""amount"": 100, ""to_player_id"": ""Grok 4.3""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000005,large_rent_payment,medium,1.0,deterministic,89,,Claude Haiku 4.5,,1669,1669,"[""mock-24591-46c1eb90-evt-001669""]",[],[],Claude Haiku 4.5 paid 250 rent to OpenAI GPT 5.4 mini,"{""amount"": 250, ""to_player_id"": ""OpenAI GPT 5.4 mini""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000006,large_rent_payment,medium,1.0,deterministic,97,,OpenAI GPT 5.4 mini,,1757,1757,"[""mock-24591-46c1eb90-evt-001757""]",[],[],OpenAI GPT 5.4 mini paid 200 rent to Gemini 3.5 Flash,"{""amount"": 200, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000007,large_rent_payment,medium,1.0,deterministic,106,,OpenAI GPT 5.4 mini,,1887,1887,"[""mock-24591-46c1eb90-evt-001887""]",[],[],OpenAI GPT 5.4 mini paid 200 rent to Gemini 3.5 Flash,"{""amount"": 200, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000008,large_rent_payment,medium,1.0,deterministic,113,,Claude Haiku 4.5,,2040,2040,"[""mock-24591-46c1eb90-evt-002040""]",[],[],Claude Haiku 4.5 paid 120 rent to Gemini 3.5 Flash,"{""amount"": 120, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
v1,trace_analyzer_v1,failure_taxonomy_v1,failure,mock-24591-46c1eb90,failure-000009,large_rent_payment,medium,1.0,deterministic,117,,OpenAI GPT 5.4 mini,,2088,2088,"[""mock-24591-46c1eb90-evt-002088""]",[],[],OpenAI GPT 5.4 mini paid 200 rent to Gemini 3.5 Flash,"{""amount"": 200, ""to_player_id"": ""Gemini 3.5 Flash""}",{},,False,not_required,"[""large_rent_payment""]"
